IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
25080;Minister of Armament;アラン・デュークス;82;SC;Theoretical Scientist;High;M25037;x
25081;Minister of Armament;アルバート・レイノルズ;88;ML;Administrative Genius;High;M25038;x
25082;Minister of Armament;バーティ・アハーン;90;ML;Corrupt Kleptocrat;High;M25040;x
25083;Minister of Armament;ルアイリ・クイン;94;SD;Theoretical Scientist;High;M25042;x
25084;Minister of Armament;チャールズ・マックレーヴィー;97;ML;Administrative Genius;High;M25084;x
25085;Minister of Armament;ブライアン・レニハン Jr.;99;ML;Resource Industrialist;High;M25085;x
25086;Minister of Armament;マイケル・ヌーナン;99;SC;laissez-faire capitalist;High;M25041;x
25087;Minister of Armament;ジェームズ・タリー;70;SD;Resource Industrialist;High;M25087;x
25088;Minister of Armament;オリヴァー・J・フラナガン;70;PA;Infantry Proponent;High;M25027;x
25089;Minister of Armament;デニス・ラーキン;70;LE;Resource Industrialist;High;M25073;x
25090;Minister of Armament;マイケル・オリオーダン;70;LE;Military Entrepreneur;High;M25024;x
25091;Minister of Armament;アリス・グレン;70;PA;laissez-faire capitalist;High;M25091;x
25092;Foreign Minister;ジャスティン・バレット;90;FA;Biased Intellectual;High;M25092;x
25093;Minister of Armament;アンディ・バー;70;LE;Battle Fleet Proponent;High;M25049;x
25094;Minister of Security;パトリック・クーニー;70;SC;Silent Lawyer;High;M25094;x
25095;Minister of Security;ジェリー・コリンズ;77;ML;Compassionate Gentleman;High;M25060;x
25096;Minister of Security;ジム・ミッチェル;80;SC;Man of the People;High;M25096;x
25097;Minister of Security;ショーン・ドハーティ;42;SD;Silent Lawyer;High;M25097;x
25098;Minister of Security;アラン・デュークス;86;SC;Compassionate Gentleman;High;M25037;x
25099;Minister of Security;レイ・バーク;89;ML;Efficient Sociopath;High;M25065;x
25100;Minister of Security;パドレイグ・フリン;92;ML;Compassionate Gentleman;High;M25100;x
25101;Minister of Security;マーレ・ジョーヒガン＝クイン;93;ML;Man of the People;High;M25101;x
25102;Minister of Security;ノラ・オーウェン;94;SC;Crime Fighter;High;M25102;x
25103;Minister of Security;ジョン・オドノヒュー;94;ML;Silent Lawyer;High;M25103;x
25104;Minister of Security;マイケル・マクドウェル;99;ML;Crime Fighter;High;M25104;x
25105;Minister of Security;ブライアン・レニハン Jr.;99;ML;Man of the People;High;M25085;x
25106;Minister of Security;ダーモット・アハーン;99;ML;Silent Lawyer;High;M25067;x
25107;Minister of Security;ブレンダン・スミス;99;ML;Compassionate Gentleman;High;M25107;x
25108;Minister of Security;アラン・シャター;99;SC;Crime Fighter;High;M25108;x
25109;Minister of Security;バリー・デズモンド;70;SD;Man of the People;High;M25109;x
25110;Minister of Security;ベティ・シンクレア;70;LE;Back Stabber;High;M25048;x
25111;Minister of Security;ジェイムズ・ステュワート;80;LE;Efficient Sociopath;High;M25025;x
25112;Minister of Security;ゲアロイド・オクネアガーン;70;FA;Prince of Terror;High;M25054;x
25113;Minister of Security;ジャスティン・バレット;90;FA;Efficient Sociopath;High;M25092;x
25114;Head of Military Intelligence;パディ・ドネガン;70;SC;Industrial Specialist;High;M25114;x
25115;Head of Military Intelligence;オリヴァー・J・フラナガン;70;PA;Political Specialist;Medium;M25027;x
25116;Head of Military Intelligence;ボビー・モロイ;77;ML;Industrial Specialist;High;M25116;x
25117;Head of Military Intelligence;パドレイグ・フォークナー;79;ML;Technical Specialist;High;M25117;x
25118;Head of Military Intelligence;シルベスター・バレット;80;ML;Logistics Specialist;High;M25118;x
25119;Head of Military Intelligence;ジェームズ・タリー;70;SD;Industrial Specialist;High;M25087;x
25120;Head of Military Intelligence;パディ・パワー;82;ML;Technical Specialist;High;M25120;x
25121;Head of Military Intelligence;パトリック・クーニー;82;SC;Political Specialist;High;M25094;x
25122;Head of Military Intelligence;パディ・オトゥール;86;SC;Industrial Specialist;High;M25122;x
25123;Head of Military Intelligence;マイケル・J・ヌーナン;87;ML;Industrial Specialist;High;M25123;x
25124;Head of Military Intelligence;ブライアン・レニハン;90;ML;Political Specialist;High;M25003;x
25125;Head of Military Intelligence;ブレンダン・ダリー;91;ML;Naval Intelligence Specialist;High;M25125;x
25126;Head of Military Intelligence;ビンセント・ブレイディ;91;ML;Technical Specialist;High;M25126;x
25127;Head of Military Intelligence;ジョン・パトリック・ウィルソン;92;ML;Technical Specialist;High;M25127;x
25128;Head of Military Intelligence;デヴィッド・アンドリューズ;92;ML;Dismal Enigma;Medium;M25062;x
25129;Head of Military Intelligence;ヒュー・カブニー;94;SC;Technical Specialist;High;M25129;x
25130;Head of Military Intelligence;ショーン・バレット;95;SC;Logistics Specialist;High;M25130;x
25131;Head of Military Intelligence;マイケル・スミス;97;ML;Industrial Specialist;High;M25131;x
25132;Head of Military Intelligence;ウィリー・オデア;99;ML;Logistics Specialist;High;M25132;x
25133;Head of Military Intelligence;トニー・キリーン;99;ML;Industrial Specialist;High;M25133;x
25134;Head of Military Intelligence;エイモン・オクイヴ;99;ML;Technical Specialist;High;M25134;x
25135;Head of Military Intelligence;アラン・シャター;99;SC;Political Specialist;High;M25108;x
25136;Head of Military Intelligence;ベティ・シンクレア;70;LE;Technical Specialist;High;M25048;x
25137;Head of Military Intelligence;アンディ・バー;70;LE;Naval Intelligence Specialist;High;M25049;x
25138;Head of Military Intelligence;アリス・グレン;70;PA;Political Specialist;High;M25091;x
25139;Chief of Staff;カール・オサリバン;70;SC;School of Manoeuvre;High;M25139;x
25140;Chief of Staff;ルイス・ホーガン;80;SC;School of Psychology;High;M25140;x
25141;Chief of Staff;ジェラルド・オサリバン;84;SC;School of Defence;High;M25141;x
25142;Chief of Staff;テッド・オニール;86;SC;School of Fire Support;High;M25142;x
25143;Chief of Staff;ジェームズ・パーカー;89;SC;School of Mass Combat;High;M25143;x
25144;Chief of Staff;ノエル・バーギン;92;SC;School of Psychology;High;M25144;x
25145;Chief of Staff;ジェラルド・マクマホン;95;SC;School of Manoeuvre;High;M25145;x
25146;Chief of Staff;デビッド・ステープルトン;98;SC;School of Fire Support;High;M25146;x
25147;Chief of Staff;コルム・マンガン;99;SC;School of Mass Combat;High;M25147;x
25148;Chief of Staff;ジェームズ・スリーナン;99;SC;School of Psychology;High;M25148;x
25149;Chief of Staff;ダーモット・アーリー;99;SC;School of Defence;High;M25149;x
25150;Chief of Staff;ショーン・マッキャン;99;SC;School of Mass Combat;High;M25150;x
25151;Chief of Staff;パディ・オダイレ;70;LE;School of Psychology;High;M25151;x
25152;Chief of Staff;マイケル・オリオーダン;70;LE;School of Fire Support;High;M25024;x
25153;Minister of Armament;マイケル・オリオーダン;70;LE;Infantry Proponent;High;M25024;x
25154;Chief of Army;カール・オサリバン;70;SC;Armoured Spearhead Doctrine;High;M25139;x
25155;Chief of Army;ルイス・ホーガン;80;SC;Guns and Butter Doctrine;High;M25140;x
25156;Chief of Army;ジェラルド・オサリバン;84;SC;Static Defence Doctrine;High;M25141;x
25157;Chief of Army;テッド・オニール;86;SC;Elastic Defence Doctrine;High;M25142;x
25158;Chief of Army;ジェームズ・パーカー;89;SC;Decisive Battle Doctrine;High;M25143;x
25159;Chief of Army;ノエル・バーギン;92;SC;Elastic Defence Doctrine;High;M25144;x
25160;Chief of Army;ジェラルド・マクマホン;95;SC;Armoured Spearhead Doctrine;High;M25145;x
25161;Chief of Army;デビッド・ステープルトン;98;SC;Guns and Butter Doctrine;High;M25146;x
25162;Chief of Army;コルム・マンガン;99;SC;Static Defence Doctrine;High;M25147;x
25163;Chief of Army;ジェームズ・スリーナン;99;SC;Static Defence Doctrine;High;M25148;x
25164;Chief of Army;ダーモット・アーリー;99;SC;Elastic Defence Doctrine;High;M25149;x
25165;Chief of Army;ショーン・マッキャン;99;SC;Guns and Butter Doctrine;High;M25150;x
25166;Chief of Army;パディ・オダイレ;70;LE;Elastic Defence Doctrine;High;M25151;x
25167;Chief of Army;マイケル・オリオーダン;70;LE;Decisive Battle Doctrine;High;M25024;x
25168;Chief of Navy;L・S・モロニー;70;SC;Open Seas Doctrine;High;M25168;x
25169;Chief of Navy;W・J・ブレット;86;SC;Decisive Naval Battle Doctrine;High;M25169;x
25170;Chief of Navy;ジョー・ダーシー;90;SC;Open Seas Doctrine;High;M25170;x
25171;Chief of Navy;ジョン・J・カバナー;99;SC;Power Projection Doctrine;High;M25171;x
25172;Chief of Navy;マーク・メレット;99;SC;Base Control Doctrine;High;M25172;x
25173;Chief of Navy;アンディ・バー;70;LE;Decisive Naval Battle Doctrine;High;M25049;x
25174;Chief of Air Force;ラルフ・ジェームズ;70;SC;Army Aviation Doctrine;High;M25174;x
25175;Chief of Air Force;ジョン・J・カバナー;70;SC;Naval Aviation Doctrine;High;M25171;x
25176;Chief of Air Force;マイケル・オリオーダン;70;LE;Vertical Envelopment Doctrine;High;M25024;x
