U04;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
9003058;Minister of Armament;アニャン・ブーラ;36;ML;Air Superiority Proponent;high;M59004;x
9003059;Minister of Security;ジョージ・H・ダグラス;36;ML;Man of the People;high;M59005;x
9003060;Head of Military Intelligence;アーチボルド・アンガス;36;ML;Political Specialist;high;M59006;x
9003061;Chief of Staff;ヴィクター・ロード・リンリスゴー;36;ML;School of Defence;high;M59007;x
9003062;Chief of Army;アーサー・A・バレット;36;ML;Static Defence Doctrine;high;M59008;x
9003063;Chief of Navy;ウィリアム・E・パリー;36;ML;Power Projection Doctrine;high;L1378;x
9003064;Chief of Air Force;ブルース・W・マクファーソン;36;ML;Vertical Envelopment Doctrine;high;M59010;x
9003065;Head of State;ラジェンドラ・プラサド;50;SD;Weary Stiffneck;high;M59031;x
9003066;Head of State;バハドゥール・バスラム・オブ・マラー・コトラ;36;SL;Pig-headed Isolationist;high;M59032;x
9003067;Head of State;ルイス・マウントバッテン卿;45;SL;Popular Figurehead;high;M59033;x
9003068;Head of State;アーチボルド・ウェーヴェル;42;ML;Resigned Generalissimo;high;M59034;x
9003069;Head of State;ラシュベハリ・バス;36;PA;Insignificant Layman;high;M59016;x
9003070;Head of Government;マハトマ・モハンダス・ガンディ;36;SD;Silent Workhorse;high;M59037;x
9003071;Head of Government;ミハエル・モリス;36;SL;Happy Amateur;high;M59038;x
9003072;Head of Government;ジョン・マサイ博士;45;SL;Corporate Suit;high;M59039;x
9003073;Head of Government;ナボブ・クレイシ・オブ・バワラプール;42;ML;Smiling Oilman;high;M59040;x
9003074;Head of Government;サー・モハメド・イクバル;36;PA;Backroom Backstabber;high;M59041;x
9003075;Foreign Minister;スバス・チャンドラ・ボース;36;SD;The Cloak N Dagger Schemer;high;M59011;x
9003076;Foreign Minister;アナンササヤナム・アイヤンガー;37;SD;Great Compromiser;high;M59044;x
9003077;Foreign Minister;サラト・チャンドラ・ボース;41;SD;Biased Intellectual;high;M59045;x
9003078;Foreign Minister;ジャワハー・ラル・ネルー;41;SD;Ideological Crusader;high;M59046;x
9003079;Foreign Minister;ビムラオ・ラムジ・アムベドカー;43;SD;Apologetic Clerk;high;M59025;x
9003080;Foreign Minister;バハドゥール・ジャイラ・オブ・コフ・バフール;36;SL;Apologetic Clerk;high;M59048;x
9003081;Foreign Minister;モハンメド・アユブ・カーン;43;SL;General Staffer;high;M59049;x
9003082;Foreign Minister;アリ・カーン4世;42;ML;Great Compromiser;high;M59050;x
9003083;Foreign Minister;アハ・カーン3世;36;PA;Great Compromiser;high;M59051;x
9003084;Foreign Minister;アジョイ・クマール・ゴーシュ;43;PA;Biased Intellectual;high;M59023;x
9003085;Foreign Minister;クハワジャ・ナジムディン;47;PA;Apologetic Clerk;high;M59055;x
9003086;Minister of Armament;サルダール・ヴァラブハイ・パテル;36;SD;Military Entrepreneur;high;M59056;x
9003087;Minister of Armament;ラル・バハドゥール・シャストリ;44;SD;Administrative Genius;high;M59024;x
9003088;Minister of Armament;ミハエル・モリス;36;SL;laissez-faire capitalist;high;M59038;x
9003089;Minister of Armament;ジョン・マサイ博士;40;SL;Theoretical Scientist;high;M59039;x
9003090;Minister of Armament;ヒテンドラ・デサイ;45;SL;Resource Industrialist;high;M59060;x
9003091;Minister of Armament;バハドゥール・ジャイラ・オブ・コフ・バフール;36;ML;Battle Fleet Proponent;high;M59048;x
9003092;Minister of Armament;ナワブ・ジャイグーア・オブ・パタウディ;39;ML;Resource Industrialist;high;M59062;x
9003093;Minister of Armament;イスカンダー・ミルザ;36;PA;Infantry Proponent;high;M59014;x
9003094;Minister of Armament;サー・チョートゥ・ラム;38;PA;Air Superiority Proponent;high;M59026;x
9003095;Minister of Armament;ジョティ・バス;39;PA;Administrative Genius;high;M59021;x
9003096;Minister of Armament;ムハンメド・アリ・ボグラ;44;PA;Air to Sea Proponent;high;M59067;x
9003097;Minister of Security;ラフィ・アハメッド・キドワイ;36;SD;Crime Fighter;high;M59068;x
9003098;Minister of Security;ビムラオ・ラムジ・アムベドカー;41;SD;Man of the People;high;M59025;x
9003099;Minister of Security;ハリラル・J・カニア;36;SL;Silent Lawyer;high;M59070;x
9003100;Minister of Security;サー・ヘンリー・ギドニー;42;SL;Compassionate Gentleman;high;M59071;x
9003101;Minister of Security;ニザム・オスマン・オブ・ハイデラバッド;36;ML;Prince of Terror;high;M59015;x
9003102;Minister of Security;ムハンメド・ムジーブ;38;ML;Back Stabber;high;M59073;x
9003103;Minister of Security;アジョイ・クマール・ゴーシュ;42;PA;Efficient Sociopath;high;M59023;x
9003104;Head of Military Intelligence;シュリ・ジャグジヴァン・ラム;36;SD;Political Specialist;high;M59077;x
9003105;Head of Military Intelligence;ラフィ・アハメッド・キドワイ;43;SD;Dismal Enigma;high;M59068;x
9003106;Head of Military Intelligence;サー・チョートゥ・ラム;36;SL;Industrial Specialist;high;M59026;x
9003107;Head of Military Intelligence;ジェハンギル・ブハバ・ホミ;43;SL;Technical Specialist;high;M59079;x
9003108;Head of Military Intelligence;ステフェン・ホープ＝カーリル;45;SL;Naval Intelligence Specialist;high;L1356;x
9003109;Head of Military Intelligence;サー・ブワハドゥール・カンドラ;36;ML;Industrial Specialist;high;M59083;x
9003110;Head of Military Intelligence;リンゼー・ステファンソン;38;ML;Dismal Enigma;high;M59084;x
9003111;Head of Military Intelligence;ラシュベハリ・バス;39;PA;Logistics Specialist;high;M59016;x
9003112;Head of Military Intelligence;アブドゥル・マジード・クワジャ;45;PA;Dismal Enigma;high;M59087;x
9003113;Chief of Staff;スバス・チャンドラ・ボース;36;SD;School of Psychology;high;M59011;x
9003114;Chief of Staff;アナンササヤナム・アイヤンガー;43;SD;School of Defence;high;M59044;x
9003115;Chief of Staff;チャールズ・T・M・ピゼー;46;SD;School of Manoeuvre;high;M59090;x
9003116;Chief of Staff;モハン・シン;36;SL;School of Mass Combat;high;M59028;x
9003117;Chief of Staff;サルダール・バルデフ・シン;41;SL;School of Psychology;high;M59092;x
9003118;Chief of Staff;コダンデラ・カリアパ;45;SL;School of Fire Support;high;M59093;x
9003119;Chief of Staff;ラジェンドラ・プラサド;36;ML;School of Defence;high;M59031;x
9003120;Chief of Staff;コダンデラ・シマヤ;42;ML;School of Defence;high;M59095;x
9003121;Chief of Staff;シャー・ナワズ・カーン;43;PA;School of Manoeuvre;high;M59017;x
9003122;Chief of Army;ラム・シン・サクール;36;SD;Guns and Butter Doctrine;high;M59099;x
9003123;Chief of Army;モハン・シン;41;SD;Decisive Battle Doctrine;high;M59028;x
9003124;Chief of Army;コダンデラ・カリアパ;36;SL;Elastic Defence Doctrine;high;M59093;x
9003125;Chief of Army;サー・フランク・メセルヴィ;45;SL;Armoured Spearhead Doctrine;high;M59102;x
9003126;Chief of Army;アーチボルド・ウェーヴェル;42;ML;Elastic Defence Doctrine;high;M59034;x
9003127;Chief of Army;クレイシ・オブ・バワラプール;36;PA;Static Defence Doctrine;high;M59040;x
9003128;Chief of Navy;バスカー・ソマン;36;SD;Decisive Naval Battle Doctrine;high;M59107;x
9003129;Chief of Navy;ラム・ダス・カタリ;47;SL;Power Projection Doctrine;high;M59019;x
9003130;Chief of Navy;W・H・グールド＝ブラッドフォード;42;ML;Open Seas Doctrine;high;L1349;x
9003131;Chief of Navy;ハリンダー・シン;46;PA;Indirect Approach Doctrine;high;M59112;x
9003132;Chief of Air Force;アーヤン・シン・ヴィブフサン;36;SD;Air Superiority Doctrine;high;M59113;x
9003133;Chief of Air Force;スブロト・ムケルジー;46;SD;Army Aviation Doctrine;high;M59115;x
9003134;Chief of Air Force;メハル・シン;36;SL;Army Aviation Doctrine;high;M59114;x
9003135;Chief of Air Force;アスピー・メルワン・エンジニア;43;SL;Naval Aviation Doctrine;high;M59117;x
9003136;Chief of Air Force;ラヴィンドラ・ダルシャン・シン;36;PA;Carpet Bombing Doctrine;high;M59118;x
9003137;Head of State;ラジェンドラ・プラサド;36;SL;Weary Stiffneck;high;M59031;x
9003138;Foreign Minister;インドール2世イエスワンサロ;41;PA;Iron Fisted Brute;high;M59122;x
9003139;Minister of Armament;H・H・ビュラン・オブ・キサンガー;42;PA;Air to Ground Proponent;high;M59123;x
9003140;Minister of Security;バンガナパレ3世アイ・カーン;36;PA;Prince of Terror;high;M59124;x
9003141;Minister of Security;H・H・ワジ・オブ・モルヴィ;44;PA;Compassionate Gentleman;high;M59125;x
9003142;Head of Military Intelligence;H・H・タシ・オブ・シッキム;36;PA;Political Specialist;high;M59126;x
9003143;Head of State;チャクラバルティ・ラージャゴーパーラーチャーリア;48;SD;Die-hard Reformer;high;M59127;x
9003144;Head of Government;ジャワハー・ラル・ネルー;45;SD;Political Protege;high;M59046;x
9003145;Foreign Minister;ガネッシュ・マヴァランカール;52;SD;Great Compromiser;high;M59129;x
9003146;Minister of Security;サルヴェパリ・ラダクリシュナン;51;SD;Compassionate Gentleman;high;M59130;x
9003147;Head of State;H・M・シソワト・モニヴォン;36;SL;Benevolent Gentleman;high;M541001;x
9003148;Head of Government;レオン・E・ティボードー;36;SL;Old Admiral;high;M541002;x
9003149;Foreign Minister;シソワト・モニポン;36;SL;Great Compromiser;high;M541003;x
9003150;Minister of Armament;シソワト・モニレト;36;SL;Infantry Proponent;high;M541004;x
9003151;Minister of Security;シソワト・ユテヴォン;36;SL;Silent Lawyer;high;M541005;x
9003152;Head of Military Intelligence;ソン・ヌゴク・タン;36;SL;Industrial Specialist;high;M541006;x
9003153;Chief of Staff;ジョルジュ・A・L・ゴーティエ;36;SL;School of Defence;high;M541007;x
9003154;Chief of Army;モーリス・ド・ルサック・サルシエン;36;SL;Static Defence Doctrine;high;M541008;x
9003155;Chief of Navy;レオン・E・ティボードー;36;SL;Indirect Approach Doctrine;high;M541002;x
9003156;Chief of Air Force;ジョルジュ・A・L・ゴーティエ;36;SL;Vertical Envelopment Doctrine;high;M541007;x
9003157;Head of State;H・M・ノロドム・シアヌーク;41;SL;Ruthless Powermonger;high;M541011;x
9003158;Head of State;ノロドム・スラマリト;36;SC;Barking Buffoon;high;M541012;x
9003159;Head of State;シソワト・モニポン;36;PA;Popular Figurehead;high;M541003;x
9003160;Head of State;ポル・ポト;36;ST;Powerhungry Demagogue;high;M541014;x
9003161;Head of Government;ジョルジュ・A・L・ゴーティエ;43;SL;old airmarshal;high;M541007;x
9003162;Head of Government;ソン・ヌゴク・タン;45;SL;Ambitious Union Boss;high;M541006;x
9003163;Head of Government;シソワト・モニレト;45;SL;Political Protege;high;M541004;x
9003164;Head of Government;シソワト・ユテヴォン;46;SL;Naive Optimist;high;M541005;x
9003165;Head of Government;シソワト・ワチャヤヴォン;47;SL;Corporate Suit;high;M541019;x
9003166;Head of Government;ソン・サン;36;SC;Silent Workhorse;high;M541020;x
9003167;Head of Government;シソワト・シリク・マタク;36;PA;Happy Amateur;high;M541021;x
9003168;Head of Government;キュー・サンパン;36;ST;Smiling Oilman;high;M541022;x
9003169;Foreign Minister;シソワト・モニラク;42;SL;Iron Fisted Brute;high;M541023;x
9003170;Foreign Minister;レオネル・ド・ムスティエ;36;SC;Apologetic Clerk;high;M541024;x
9003171;Foreign Minister;パン・シナ;44;SC;Ideological Crusader;high;M541025;x
9003172;Foreign Minister;クリサン・チェダ;36;PA;General Staffer;high;M541026;x
9003173;Foreign Minister;レン・サリー;36;ST;The Cloak N Dagger Schemer;high;M541027;x
9003174;Minister of Armament;ピエール・プネ;42;SL;Military Entrepreneur;high;M541028;x
9003175;Minister of Armament;チャイ・サイン・ユン;45;SL;Submarine Proponent;high;M541029;x
9003176;Minister of Armament;アメデー・ドヨン;36;SC;Air Superiority Proponent;high;M541030;x
9003177;Minister of Armament;サム・アン;43;SC;Battle Fleet Proponent;high;M541031;x
9003178;Minister of Armament;ノロドム・パヌーヴォン;36;PA;Tank Proponent;high;M541032;x
9003179;Minister of Armament;ヌオン・チア;36;ST;Corrupt Kleptocrat;high;M541033;x
9003180;Minister of Security;ルネ・ラコンブ;40;SL;Man of the People;high;M541034;x
9003181;Minister of Security;ロン・ノル;44;SL;Prince of Terror;high;M541035;x
9003182;Minister of Security;ポール・ジョリー;36;SC;Back Stabber;high;M541036;x
9003183;Minister of Security;サキワト・ピルン;36;PA;Crooked Kleptocrat;high;M541037;x
9003184;Minister of Security;フランソワ・フォール;43;PA;Compassionate Gentleman;high;M541038;x
9003185;Minister of Security;ポル・ポト;36;ST;Efficient Sociopath;high;M541014;x
9003186;Head of Military Intelligence;シソワト・ワチャヤヴォン;42;SL;Logistics Specialist;high;M541019;x
9003187;Head of Military Intelligence;ヒ・ウェン;36;SC;Naval Intelligence Specialist;high;M541041;x
9003188;Head of Military Intelligence;シソワト・ユテヴォン;36;PA;Technical Specialist;high;M541005;x
9003189;Head of Military Intelligence;テア・バン;36;ST;Dismal Enigma;high;M541043;x
9003190;Chief of Staff;ノロドム・シアヌーク;41;SL;School of Psychology;high;M541044;x
9003191;Chief of Staff;チュン・リム;36;SC;School of Fire Support;high;M541045;x
9003192;Chief of Staff;シソワト・モニレト;36;PA;School of Manoeuvre;high;M541046;x
9003193;Chief of Staff;キエン・ヴァン;36;ST;School of Mass Combat;high;M541047;x
9003194;Chief of Army;エミール・ラフォン;41;SL;Elastic Defence Doctrine;high;M541048;x
9003195;Chief of Army;シソワト・ワチャヤヴォン;36;SC;Elastic Defence Doctrine;high;M541049;x
9003196;Chief of Army;ロン・ノル;36;PA;Decisive Battle Doctrine;high;M541035;x
9003197;Chief of Army;ソン・セン;36;ST;Guns and Butter Doctrine;high;M541051;x
9003198;Chief of Navy;ジャック・トロレー・ド・プレヴォー;43;SL;Open Seas Doctrine;high;M541052;x
9003199;Chief of Navy;アンドレ・パトゥー;36;SC;Decisive Naval Battle Doctrine;high;M541053;x
9003200;Chief of Navy;ノロドム・シアヌーク;36;PA;Power Projection Doctrine;high;M541054;x
9003201;Chief of Navy;ユー・ホク・クリ;36;ST;Base Control Doctrine;high;M541055;x
9003202;Chief of Air Force;ジョセフ・トリゴー;42;SL;Army Aviation Doctrine;high;M541056;x
9003203;Chief of Air Force;ジャック・スフレ;36;SC;Naval Aviation Doctrine;high;M541057;x
9003204;Chief of Air Force;ノロドム・シアヌーク;36;PA;Carpet Bombing Doctrine;high;M541058;x
9003205;Chief of Air Force;プルーム・ソッカー;36;ST;Vertical Envelopment Doctrine;high;M541059;x
9003206;Head of Government;チェアン・ヴァム;48;SL;Naive Optimist;high;M541060;x
9003207;Head of Government;サムデイッ・ペン・ノート;48;SL;Silent Workhorse;high;M541061;x
9003208;Head of Government;イェム・サンバウ;49;SL;Political Protege;high;M541062;x
9003209;Head of Government;シソワト・モニポン;50;SL;Old General;high;M541003;x
9003210;Head of Government;オウム・チェアン・スン;51;SL;Happy Amateur;high;M541064;x
9003211;Head of Government;フイ・カントウル;51;SL;Ambitious Union Boss;high;M541065;x
9003212;Head of Government;H・M・ノロドム・シアヌーク;52;SL;Backroom Backstabber;high;M541011;x
9003213;Foreign Minister;ソン・ヌゴク・タン;45;SL;Great Compromiser;high;M541067;x
9003214;Head of State;H・M・バオ・ダイ;36;SL;Weary Stiffneck;high;M542001;x
9003215;Head of Government;ルネ・ロバン;36;SL;Flamboyant Tough Guy;high;M542002;x
9003216;Foreign Minister;トン・ドク・プオン;36;SL;The Cloak N Dagger Schemer;high;M542003;x
9003217;Minister of Armament;グエン・ヴァン・タム;36;SL;Resource Industrialist;high;M542004;x
9003218;Minister of Security;ホー・ダク・トルン;36;SL;Man of the People;high;M542005;x
9003219;Head of Military Intelligence;ジャン・ドゥクー;36;SL;Logistics Specialist;high;M542006;x
9003220;Chief of Staff;ジョルジュ・カトルー;36;SL;School of Manoeuvre;high;L24029;x
9003221;Chief of Army;ギ・ド・ボーアルネ;36;SL;Static Defence Doctrine;high;M542008;x
9003222;Chief of Navy;ピエール・パスキエ;36;SL;Decisive Naval Battle Doctrine;high;M542009;x
9003223;Chief of Air Force;ジュール・ブレヴィエ;36;SL;Army Aviation Doctrine;high;M542010;x
9003224;Head of State;ホー・チ・ミン;36;LE;Ruthless Powermonger;high;M542012;x
9003225;Head of Government;ジュール・ブレヴィエ;36;SL;old airmarshal;high;M542010;x
9003226;Head of Government;ジョルジュ・カトルー;39;SL;Old General;high;L24029;x
9003227;Head of Government;ジャン・ドゥクー;40;SL;Naive Optimist;high;M542006;x
9003228;Head of Government;ジョルジュ・ティエリー・ダルジャンリュー;45;SL;Old Admiral;high;L24173;x
9003229;Head of Government;エミレ・ボラエルト;47;SL;Corporate Suit;high;M542017;x
9003230;Head of Government;ゴ・ディン・ディエム;36;PA;Smiling Oilman;high;M542018;x
9003231;Head of Government;トルオン・チン;36;LE;Backroom Backstabber;high;M542019;x
9003232;Foreign Minister;ルイ・ジョフレ;38;SL;Great Compromiser;high;M542020;x
9003233;Foreign Minister;レオンス・ジョール;40;SL;General Staffer;high;M542021;x
9003234;Foreign Minister;ゴ・ディン・ディエム;43;SL;Iron Fisted Brute;high;M542018;x
9003235;Foreign Minister;グエン・ヴァン・スァン;36;PA;Apologetic Clerk;high;M542023;x
9003236;Foreign Minister;パム・ヴァン・ドン;36;LE;Ideological Crusader;high;M542024;x
9003237;Minister of Armament;グエン・ヴァン・ティン;41;SL;Battle Fleet Proponent;high;M542025;x
9003238;Minister of Armament;ピエール・ルフォーショー;43;SL;Administrative Genius;high;M542026;x
9003239;Minister of Armament;レ・ヴァン・ホアク;36;PA;Theoretical Scientist;high;M542027;x
9003240;Minister of Armament;ドゥオン・チュウ・トゥオク;41;PA;Submarine Proponent;high;M542028;x
9003241;Minister of Armament;パム・ドゥイ・トン;43;PA;Resource Industrialist;high;M542029;x
9003242;Minister of Armament;レ・ズアン;36;LE;Military Entrepreneur;high;M542030;x
9003243;Minister of Security;ピエール・ルイ＝ドレフュス;42;SL;Compassionate Gentleman;high;M542031;x
9003244;Minister of Security;トラン・ギア・トアイ;43;SL;Efficient Sociopath;high;M542032;x
9003245;Minister of Security;ゴ・ディン・ヌー;36;PA;Prince of Terror;high;M542033;x
9003246;Minister of Security;ドゥオン・ヴァン・ミン;43;PA;Back Stabber;high;M542034;x
9003247;Minister of Security;テ・ルー;36;LE;Silent Lawyer;high;M542035;x
9003248;Head of Military Intelligence;エミレ・ボラエルト;41;SL;Political Specialist;high;M542017;x
9003249;Head of Military Intelligence;ピエール・イェーレ;43;SL;Naval Intelligence Specialist;high;M542037;x
9003250;Head of Military Intelligence;パム・トク・クイア;36;PA;Dismal Enigma;high;M542038;x
9003251;Head of Military Intelligence;パン・フイ・クアト;36;LE;Political Specialist;high;M542039;x
9003252;Head of Military Intelligence;レ・タン;41;LE;Industrial Specialist;high;M542040;x
9003253;Chief of Staff;レオンス・ジョール;40;SL;School of Fire Support;high;M542021;x
9003254;Chief of Staff;レ・クアン;45;SL;School of Mass Combat;high;M542042;x
9003255;Chief of Staff;グエン・フー・コー;36;PA;School of Defence;high;M542043;x
9003256;Chief of Staff;ヴォー・グエン・ザップ;36;LE;School of Psychology;high;M542044;x
9003257;Chief of Army;ジャン・ドゥクー;41;SL;Decisive Battle Doctrine;high;M542006;x
9003258;Chief of Army;ドゥオン・ヴァン・ミン;45;SL;Armoured Spearhead Doctrine;high;M542046;x
9003259;Chief of Army;ホー・チ・ミン;36;LE;Guns and Butter Doctrine;high;M542047;x
9003260;Chief of Army;ヴォー・グエン・ザップ;42;LE;Elastic Defence Doctrine;high;M542048;x
9003261;Chief of Navy;ピエール・イェーレ;42;SL;Base Control Doctrine;high;M542037;x
9003262;Chief of Navy;ジョルジュ・ティエリー・ダルジャンリュー;44;SL;Open Seas Doctrine;high;L24173;x
9003263;Chief of Navy;ホー・タン・クエン;36;PA;Indirect Approach Doctrine;high;M542051;x
9003264;Chief of Navy;トラン・トゥン・ドク;36;LE;Power Projection Doctrine;high;M542052;x
9003265;Chief of Air Force;ミシェル・ブーディエ;42;SL;Naval Aviation Doctrine;high;M542053;x
9003266;Chief of Air Force;フレデリック・ル・ランジェ;36;PA;Vertical Envelopment Doctrine;high;M542054;x
9003267;Chief of Air Force;グエン・フー・トー;36;LE;Air Superiority Doctrine;high;M542055;x
9003268;Head of State;ラーマ8世;36;PA;Popular Figurehead;high;M62001;x
9003269;Head of Government;フォット・ブハハリオディン;36;PA;Happy Amateur;high;M62002;x
9003270;Foreign Minister;ハ・サムプタシリ;36;PA;Apologetic Clerk;high;M62003;x
9003271;Minister of Armament;フォット・ブハハリオディン;36;PA;Corrupt Kleptocrat;high;M62002;x
9003272;Minister of Security;プリディ・ファノミオング;36;PA;Back Stabber;high;M62005;x
9003273;Head of Military Intelligence;プリディ・ファノミオング;36;PA;Industrial Specialist;high;M62005;x
9003274;Chief of Staff;ルアン・ピブーンソンクラーム;36;PA;School of Mass Combat;high;M62007;x
9003275;Chief of Army;ルアン・ピブーンソンクラーム;36;PA;Guns and Butter Doctrine;high;M62007;x
9003276;Chief of Navy;プリディ・ファノミオング;36;PA;Base Control Doctrine;high;M62005;x
9003277;Chief of Air Force;フラ・ヴェチャヤンラングサリト;36;PA;Army Aviation Doctrine;high;M62010;x
9003278;Head of State;H・R・H・プリンス・ラングシット・オブ・チャイナンド;42;PA;Autocratic Charmer;high;M62031;x
9003279;Head of State;ラーマ8世;45;SC;Popular Figurehead;high;M62001;x
9003280;Head of State;ラーマ9世;46;PA;Benevolent Gentleman;high;M62011;x
9003281;Head of Government;ルアン・ピブーンソンクラーム;38;FA;Old General;high;M62007;x
9003282;Head of Government;クアン・アブハヤヴォングサ;44;PA;Silent Workhorse;high;M62036;x
9003283;Head of Government;サウィー・プンヤケトゥ;45;SC;Smiling Oilman;high;M62015;x
9003284;Head of Government;セニ・プラモジャ;46;SC;Corporate Suit;high;M62012;x
9003285;Head of Government;クアン・アブハヤヴォングサ;46;ML;Silent Workhorse;high;M62036;x
9003286;Head of Government;プリディ・ファノミオング;46;PA;Old Admiral;high;M62005;x
9003287;Head of Government;サウォン・サムロングナワサワト;46;PA;Political Protege;high;M62029;x
9003288;Head of Government;フォット・ブハハリオディン;39;SC;Happy Amateur;high;M62002;x
9003289;Foreign Minister;ピア・チトナソングクフラ;38;FA;Apologetic Clerk;high;M62026;x
9003290;Foreign Minister;ウィチト・ウィチトワサカルン;42;FA;Ideological Crusader;high;M62044;x
9003291;Foreign Minister;ルアン・ピブーンソンクラーム;43;FA;General Staffer;high;M62007;x
