##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X;;
PROV115;ムーラ;;;;;;;;;;X;;
PROV116;リレサンド;;;;;;;;;;X;;
PROV117;モルデ;;;;;;;;;;X;;
PROV118;トロンハイム;;;;;;;;;;X;;
PROV119;スンスバル;;;;;;;;;;X;;
PROV120;オーフス;;;;;;;;;;X;;
PROV121;ウーメオ;;;;;;;;;;X;;
PROV122;エスビャウ;;;;;;;;;;X;;
PROV123;テリヨキ;;;;;;;;;;X;;
PROV124;ボードー;;;;;;;;;;X;;
PROV125;トロムソ;;;;;;;;;;X;;
PROV126;キルナ;;;;;;;;;;X;;
PROV127;ルーレオ;;;;;;;;;;X;;
PROV128;アルタ;;;;;;;;;;X;;
PROV129;ベルゲン;;;;;;;;;;X;;
PROV130;ロヴァニエミ;;;;;;;;;;X;;
PROV131;トルニオ;;;;;;;;;;X;;
PROV132;ペツァモ;;;;;;;;;;X;;
PROV133;ムルマンスク;;;;;;;;;;X;;
PROV134;コーラ;;;;;;;;;;X;;
PROV135;カンダラクシャ;;;;;;;;;;X;;
PROV136;カヤーニ;;;;;;;;;;X;;
PROV137;オウル;;;;;;;;;;X;;
PROV138;ヴァーサ;;;;;;;;;;X;;
PROV139;タンペレ;;;;;;;;;;X;;
PROV140;ポリ;;;;;;;;;;X;;
PROV141;トゥルク;;;;;;;;;;X;;
PROV142;ヘルシンキ;;;;;;;;;;X;;
PROV143;サッラ;;;;;;;;;;X;;
PROV144;ラッペンランタ;;;;;;;;;;X;;
PROV145;ヴィープリ;;;;;;;;;;X;;
PROV146;ソルタヴァラ;;;;;;;;;;X;;
PROV147;クオピオ;;;;;;;;;;X;;
PROV148;ラハティ;;;;;;;;;;X;;
PROV149;ヨエンスー;;;;;;;;;;X;;
PROV150;ケミ;;;;;;;;;;X;;
PROV151;セゲージャ;;;;;;;;;;X;;
PROV152;ペトロザヴォーツク;;;;;;;;;;X;;
PROV153;キリロフ;;;;;;;;;;X;;
PROV154;アルハンゲリスク;;;;;;;;;;X;;
PROV155;シンフェロポリ;;;;;;;;;;X;;
PROV156;タンボフ;;;;;;;;;;X;;
PROV157;ボリソグレフスク;;;;;;;;;;X;;
PROV158;ウリヤノフスク;;;;;;;;;;X;;
PROV159;スロヴィーキノ;;;;;;;;;;X;;
PROV160;ウリュピンスク;;;;;;;;;;X;;
PROV161;カミャネチ＝ポジリシキィ;;;;;;;;;;X;;
PROV162;マイコープ;;;;;;;;;;X;;
PROV163;スターリングラード;;;;;;;;;;X;;
PROV164;カラチ＝ナ＝ドヌ;;;;;;;;;;X;;
PROV165;トチマ;;;;;;;;;;X;;
PROV166;ゴーリキー;;;;;;;;;;X;;
PROV167;イワノヴォ;;;;;;;;;;X;;
PROV168;アルザマス;;;;;;;;;;X;;
PROV169;サーソヴォ;;;;;;;;;;X;;
PROV170;ルイビンスク;;;;;;;;;;X;;
PROV171;ヴォログダ;;;;;;;;;;X;;
PROV172;ヴイテルガ;;;;;;;;;;X;;
PROV173;キームルィ;;;;;;;;;;X;;
PROV174;カリーニン;;;;;;;;;;X;;
PROV175;モスクワ;;;;;;;;;;X;;
PROV176;ザゴルスク;;;;;;;;;;X;;
PROV177;ヤロスラヴリ;;;;;;;;;;X;;
PROV178;ヴラジーミル;;;;;;;;;;X;;
PROV179;ムーロム;;;;;;;;;;X;;
PROV180;オレホヴォ＝ズエヴォ;;;;;;;;;;X;;
PROV181;コゼリスク;;;;;;;;;;X;;
PROV182;ヴャジマ;;;;;;;;;;X;;
PROV183;ケステニガ;;;;;;;;;;X;;
PROV184;ベロモルスク;;;;;;;;;;X;;
PROV185;チフヴィン;;;;;;;;;;X;;
PROV186;ルーガ;;;;;;;;;;X;;
PROV187;レニングラード;;;;;;;;;;X;;
PROV188;キンギセップ;;;;;;;;;;X;;
PROV189;クラスナグヴァルヂェイスク;;;;;;;;;;X;;
PROV190;ボロヴィチ;;;;;;;;;;X;;
PROV191;スタラヤ・ルーサ;;;;;;;;;;X;;
PROV192;グドフ;;;;;;;;;;X;;
PROV193;ナルヴァ;;;;;;;;;;X;;
PROV194;タリン;;;;;;;;;;X;;
PROV195;クレサーレ;;;;;;;;;;X;;
PROV196;パルヌ;;;;;;;;;;X;;
PROV197;リガ;;;;;;;;;;X;;
PROV198;ヴァルミエラ;;;;;;;;;;X;;
PROV199;タルヌ;;;;;;;;;;X;;
PROV200;ノヴゴルド;;;;;;;;;;X;;
PROV201;プスコフ;;;;;;;;;;X;;
PROV202;ダウガウピルス;;;;;;;;;;X;;
PROV203;エカピルス;;;;;;;;;;X;;
PROV204;エルガワ;;;;;;;;;;X;;
PROV205;リエパーヤ;;;;;;;;;;X;;
PROV206;シャウレイ;;;;;;;;;;X;;
PROV207;カウナス;;;;;;;;;;X;;
PROV208;ブィドゴシュチュ;;;;;;;;;;X;;
PROV209;グロドゥナ;;;;;;;;;;X;;
PROV210;ノボグルドク;;;;;;;;;;X;;
PROV211;カリシュ;;;;;;;;;;X;;
PROV212;ミンスク;;;;;;;;;;X;;
PROV213;グレボキエ;;;;;;;;;;X;;
PROV214;ビリニュス;;;;;;;;;;X;;
PROV215;ヴェリーキエ・ルーキ;;;;;;;;;;X;;
PROV216;ドノー;;;;;;;;;;X;;
PROV217;ヴィテブスク;;;;;;;;;;X;;
PROV218;オルシャ;;;;;;;;;;X;;
PROV219;スモレンスク;;;;;;;;;;X;;
PROV220;モギリフ;;;;;;;;;;X;;
PROV221;バブルイスク;;;;;;;;;;X;;
PROV222;ヴウォツワヴェク;;;;;;;;;;X;;
PROV223;インステルブルク;;;;;;;;;;X;;
PROV224;ザラエゲルセグ;;;;;;;;;;X;;
PROV225;モズイリ;;;;;;;;;;X;;
PROV226;ノヴォグラード=ヴォルインスキイ;;;;;;;;;;X;;
PROV227;ジトミール;;;;;;;;;;X;;
PROV228;ヴィニンツァ;;;;;;;;;;X;;
PROV229;タルノポリ;;;;;;;;;;X;;
PROV230;ベリツィ;;;;;;;;;;X;;
PROV231;モギリョフ＝ポドルスキ;;;;;;;;;;X;;
PROV232;バルタ;;;;;;;;;;X;;
PROV233;オデッサ;;;;;;;;;;X;;
PROV234;ムィコラーイウ;;;;;;;;;;X;;
PROV235;クリヴォイ・ログ;;;;;;;;;;X;;
PROV236;キロヴォグラード;;;;;;;;;;X;;
PROV237;チェルカッスイ;;;;;;;;;;X;;
PROV238;キエフ;;;;;;;;;;X;;
PROV239;ニジン;;;;;;;;;;X;;
PROV240;コーロステニ;;;;;;;;;;X;;
PROV241;チェルニヒフ;;;;;;;;;;X;;
PROV242;コノトプ;;;;;;;;;;X;;
PROV243;ゼレノゴルスク;;;;;;;;;;X;;
PROV244;スーミ;;;;;;;;;;X;;
PROV245;クリミンチューク;;;;;;;;;;X;;
PROV246;ポルタヴァ;;;;;;;;;;X;;
PROV247;ベルゴロド;;;;;;;;;;X;;
PROV248;ハリコフ;;;;;;;;;;X;;
PROV249;ザポリージャ;;;;;;;;;;X;;
PROV250;メリトポリ;;;;;;;;;;X;;
PROV251;ヘルソン;;;;;;;;;;X;;
PROV252;エフパトリヤ;;;;;;;;;;X;;
PROV253;セヴァストポリ;;;;;;;;;;X;;
PROV254;ケルチ;;;;;;;;;;X;;
PROV255;ノヴォロシースク;;;;;;;;;;X;;
PROV256;クラスノダール;;;;;;;;;;X;;
PROV257;サーリスク;;;;;;;;;;X;;
PROV258;マリウポリ;;;;;;;;;;X;;
PROV259;ルガンスク;;;;;;;;;;X;;
PROV260;スターリノ;ドネツィク;;;;;;;;;;;X
PROV261;アレクセエフカ;;;;;;;;;;X;;
PROV262;スタールイ・オスコル;;;;;;;;;;X;;
PROV263;ロッソ;;;;;;;;;;X;;
PROV264;パヴロフスク;;;;;;;;;;X;;
PROV265;カメンスク＝シャフチンスキー;;;;;;;;;;X;;
PROV266;クピャンスク;;;;;;;;;;X;;
PROV267;プロスクロフ;;;;;;;;;;X;;
PROV268;モロゾフスク;;;;;;;;;;X;;
PROV269;ロストフ・ナ・ドヌ;;;;;;;;;;X;;
PROV270;ヴォルゴドンスク;;;;;;;;;;X;;
PROV271;コンスタンチノフスク;;;;;;;;;;X;;
PROV272;スウツク;;;;;;;;;;X;;
PROV273;ラウバン;;;;;;;;;;X;;
PROV274;ホメリ;;;;;;;;;;X;;
PROV275;ロスラヴリ;;;;;;;;;;X;;
PROV276;オリョール;;;;;;;;;;X;;
PROV277;クリンツイ;;;;;;;;;;X;;
PROV278;リーヴヌィ;;;;;;;;;;X;;
PROV279;リャザン;;;;;;;;;;X;;
PROV280;バラショフ;;;;;;;;;;X;;
PROV281;ヴォロネジ;;;;;;;;;;X;;
PROV282;クルスク;;;;;;;;;;X;;
PROV283;エレツ;;;;;;;;;;X;;
PROV284;リペツク;;;;;;;;;;X;;
PROV285;サフォノヴォ;;;;;;;;;;X;;
PROV286;ネリドヴォ;;;;;;;;;;X;;
PROV287;キーリシ;;;;;;;;;;X;;
PROV288;ルジェフ;;;;;;;;;;X;;
PROV289;トルジョーク;;;;;;;;;;X;;
PROV290;エーレスンド;;;;;;;;;;X;;
PROV291;カルロヴァツ;;;;;;;;;;X;;
PROV292;フレゼリクスハウン;;;;;;;;;;X;;
PROV293;オーデンセ;;;;;;;;;;X;;
PROV294;コペンハーゲン;;;;;;;;;;X;;
PROV295;ボーンホルム島;;;;;;;;;;X;;
PROV296;ロストック;;;;;;;;;;X;;
PROV297;ノイルッピン;;;;;;;;;;X;;
PROV298;マグデブルク;;;;;;;;;;X;;
PROV299;ポツダム;;;;;;;;;;X;;
PROV300;ベルリン;;;;;;;;;;X;;
PROV301;シュトラールズント;;;;;;;;;;X;;
PROV302;シュテッティン;;;;;;;;;;X;;
PROV303;ダンツィヒ;;;;;;;;;;X;;
PROV304;エルビンク;;;;;;;;;;X;;
PROV305;プウォツク;;;;;;;;;;X;;
PROV306;グディニャ;;;;;;;;;;X;;
PROV307;トルン;;;;;;;;;;X;;
PROV308;メーゼリッツ;;;;;;;;;;X;;
PROV309;コットブス;;;;;;;;;;X;;
PROV310;ライプツィヒ;;;;;;;;;;X;;
PROV311;ドレスデン;;;;;;;;;;X;;
PROV312;ニュルンベルク;;;;;;;;;;X;;
PROV313;フランクフルト・アム・マイン;;;;;;;;;;X;;
PROV314;シュッツトガルト;;;;;;;;;;X;;
PROV315;フライブルク;;;;;;;;;;X;;
PROV316;ミュールーズ;;;;;;;;;;X;;
PROV317;エピナル;;;;;;;;;;X;;
PROV318;オセール;;;;;;;;;;X;;
PROV319;サン＝テティエンヌ;;;;;;;;;;X;;
PROV320;シャトールー;;;;;;;;;;X;;
PROV321;リモージュ;;;;;;;;;;X;;
PROV322;ペリグー;;;;;;;;;;X;;
PROV323;ラロシェル;;;;;;;;;;X;;
PROV324;モントーバン;;;;;;;;;;X;;
PROV325;モン＝ド＝マルサン;;;;;;;;;;X;;
PROV326;バイヨンヌ;;;;;;;;;;X;;
PROV327;オーシュ;;;;;;;;;;X;;
PROV328;フォワ;;;;;;;;;;X;;
PROV329;ウエスカ;;;;;;;;;;X;;
PROV330;サラゴサ;;;;;;;;;;X;;
PROV331;ビルバオ;;;;;;;;;;X;;
PROV332;オヴィエド;;;;;;;;;;X;;
PROV333;ブルゴス;;;;;;;;;;X;;
PROV334;ラコルニャ;;;;;;;;;;X;;
PROV335;オポルト;;;;;;;;;;X;;
PROV336;リスボン;;;;;;;;;;X;;
PROV337;コインブラ;;;;;;;;;;X;;
PROV338;カセレス;;;;;;;;;;X;;
PROV339;バヤドリッド;;;;;;;;;;X;;
PROV340;ソリア;;;;;;;;;;X;;
PROV341;マドリッド;;;;;;;;;;X;;
PROV342;トレド;;;;;;;;;;X;;
PROV343;バダホス;;;;;;;;;;X;;
PROV344;セトゥーバル;;;;;;;;;;X;;
PROV345;ベージャ;;;;;;;;;;X;;
PROV346;ウェルバ;;;;;;;;;;X;;
PROV347;セヴィーリャ;;;;;;;;;;X;;
PROV348;ジブラルタル;;;;;;;;;;X;;
PROV349;マラガ;;;;;;;;;;X;;
PROV350;グラナダ;;;;;;;;;;X;;
PROV351;コルドバ;;;;;;;;;;X;;
PROV352;ムルシア;;;;;;;;;;X;;
PROV353;シウダー・レアル;;;;;;;;;;X;;
PROV354;バレンシア;;;;;;;;;;X;;
PROV355;カステリョン・デ・ラ・プラナ;;;;;;;;;;X;;
PROV356;タラゴナ;;;;;;;;;;X;;
PROV357;バルセロナ;;;;;;;;;;X;;
PROV358;ペルピニャン;;;;;;;;;;X;;
PROV359;トゥールーズ;;;;;;;;;;X;;
PROV360;ヴィシー;;;;;;;;;;X;;
PROV361;クレルモン＝フェラン;;;;;;;;;;X;;
PROV362;モンペリエ;;;;;;;;;;X;;
PROV363;ニーム;;;;;;;;;;X;;
PROV364;マルセイユ;;;;;;;;;;X;;
PROV365;トゥーロン;;;;;;;;;;X;;
PROV366;ニース;;;;;;;;;;X;;
PROV367;アジャクシオ;コルシカ;;;;;;;;;;;X
PROV368;ジェノヴァ;;;;;;;;;;X;;
PROV369;パルマ;;;;;;;;;;X;;
PROV370;ミラノ;;;;;;;;;;X;;
PROV371;トレント;;;;;;;;;;X;;
PROV372;ルガーノ;;;;;;;;;;X;;
PROV373;ブレゲンツ;;;;;;;;;;X;;
PROV374;アウグスブルク;;;;;;;;;;X;;
PROV375;レーゲンスブルク;;;;;;;;;;X;;
PROV376;ミュンヘン;;;;;;;;;;X;;
PROV377;インスブルック;;;;;;;;;;X;;
PROV378;ヴェネティア;;;;;;;;;;X;;
PROV379;ブレシア;;;;;;;;;;X;;
PROV380;リュブリャナ;;;;;;;;;;X;;
PROV381;ザダル;;;;;;;;;;X;;
PROV382;ザグレブ;;;;;;;;;;X;;
PROV383;バニャルカ;;;;;;;;;;X;;
PROV384;スプリット;;;;;;;;;;X;;
PROV385;サラエヴォ;;;;;;;;;;X;;
PROV386;トゥズラ;;;;;;;;;;X;;
PROV387;モスタル;;;;;;;;;;X;;
PROV388;ドブロブニク;;;;;;;;;;X;;
PROV389;ツェティニェ;;;;;;;;;;X;;
PROV390;ティラナ;;;;;;;;;;X;;
PROV391;ヴロレ;;;;;;;;;;X;;
PROV392;イオアニナ;;;;;;;;;;X;;
PROV393;ケファロニア;;;;;;;;;;X;;
PROV394;パトラス;;;;;;;;;;X;;
PROV395;コリントス;;;;;;;;;;X;;
PROV396;イラクリオン;クレタ;;;;;;;;;;;X
PROV397;マルマラ海;;;;;;;;;;X;;
PROV398;カリムノス;ドデカネス諸島;;;;;;;;;;;X
PROV399;ロードス;;;;;;;;;;X;;
PROV400;ハルキス;;;;;;;;;;X;;
PROV401;アテネ;;;;;;;;;;X;;
PROV402;ラリーサ;;;;;;;;;;X;;
PROV403;ラミア;;;;;;;;;;X;;
PROV404;ハイファ;;;;;;;;;;X;;
PROV405;ミティリーニ;;;;;;;;;;X;;
PROV406;ベエルシェバ;;;;;;;;;;X;;
PROV407;ザルカ;;;;;;;;;;X;;
PROV408;ブルサ;;;;;;;;;;X;;
PROV409;イスタンブール;;;;;;;;;;X;;
PROV410;コモティニ;;;;;;;;;;X;;
PROV411;テッサロニキ;;;;;;;;;;X;;
PROV412;コザニ;;;;;;;;;;X;;
PROV413;スコピエ;;;;;;;;;;X;;
PROV414;クマノヴォ;;;;;;;;;;X;;
PROV415;プリスティナ;;;;;;;;;;X;;
PROV416;ゴルナ・ジュマヤ;;;;;;;;;;X;;
PROV417;ソフィア;;;;;;;;;;X;;
PROV418;ニーシュ;;;;;;;;;;X;;
PROV419;ヴィディン;;;;;;;;;;X;;
PROV420;プレヴェン;;;;;;;;;;X;;
PROV421;プロヴディフ;;;;;;;;;;X;;
PROV422;ブルガス;;;;;;;;;;X;;
PROV423;ドブリチ;;;;;;;;;;X;;
PROV424;ブカレスト;;;;;;;;;;X;;
PROV425;ジュルジュ;;;;;;;;;;X;;
PROV426;クライオヴァ;;;;;;;;;;X;;
PROV427;アルバ・ユリア;;;;;;;;;;X;;
PROV428;クルジュナポカ;;;;;;;;;;X;;
PROV429;バカウ;;;;;;;;;;X;;
PROV430;シビウ;;;;;;;;;;X;;
PROV431;プロエスティ;;;;;;;;;;X;;
PROV432;ブライラ;;;;;;;;;;X;;
PROV433;ヤシ;;;;;;;;;;X;;
PROV434;キシネフ;;;;;;;;;;X;;
PROV435;イスマイル;;;;;;;;;;X;;
PROV436;コンスタンツァ;;;;;;;;;;X;;
PROV437;イズミル;;;;;;;;;;X;;
PROV438;アンタリヤ;;;;;;;;;;X;;
PROV439;アダパザル;;;;;;;;;;X;;
PROV440;カラビュク;;;;;;;;;;X;;
PROV441;ゾングルダク;;;;;;;;;;X;;
PROV442;コンヤ;;;;;;;;;;X;;
PROV443;タルスス;;;;;;;;;;X;;
PROV444;ニコシア;;;;;;;;;;X;;
PROV445;アダナ;;;;;;;;;;X;;
PROV446;アルダハン;;;;;;;;;;X;;
PROV447;サムスン;;;;;;;;;;X;;
PROV448;アンカラ;;;;;;;;;;X;;
PROV449;オルドゥ;;;;;;;;;;X;;
PROV450;トレビゾンド;;;;;;;;;;X;;
PROV451;ニシュ;;;;;;;;;;X;;
PROV452;ウジツェ;;;;;;;;;;X;;
PROV453;ベオグラード;;;;;;;;;;X;;
PROV454;オシエク;;;;;;;;;;X;;
PROV455;ビェロバル;;;;;;;;;;X;;
PROV456;ペーチ;;;;;;;;;;X;;
PROV457;ブダペスト;;;;;;;;;;X;;
PROV458;セーケシュフェヘールヴァール;;;;;;;;;;X;;
PROV459;マリボール;;;;;;;;;;X;;
PROV460;グラーツ;;;;;;;;;;X;;
PROV461;クラーゲンフルト;;;;;;;;;;X;;
PROV462;ザルツブルク;;;;;;;;;;X;;
PROV463;ウィーン;;;;;;;;;;X;;
PROV464;ホラブルン;;;;;;;;;;X;;
PROV465;フライシュタット;;;;;;;;;;X;;
PROV466;カルロヴィ・ヴァリ;;;;;;;;;;X;;
PROV467;ズノイモ;;;;;;;;;;X;;
PROV468;フラデツ・クラーロヴェー;;;;;;;;;;X;;
PROV469;プラハ;;;;;;;;;;X;;
PROV470;ピルセン;;;;;;;;;;X;;
PROV471;リベレツ;;;;;;;;;;X;;
PROV472;オパヴァ;;;;;;;;;;X;;
PROV473;ブレスラウ;;;;;;;;;;X;;
PROV474;オストラヴァ;;;;;;;;;;X;;
PROV475;ブルノ;;;;;;;;;;X;;
PROV476;ブラティスラヴァ;;;;;;;;;;X;;
PROV477;バンスカービストリツァ;;;;;;;;;;X;;
PROV478;ジリナ;;;;;;;;;;X;;
PROV479;クラクフ;;;;;;;;;;X;;
PROV480;チェンストホーヴァ;;;;;;;;;;X;;
PROV481;ウッチ;;;;;;;;;;X;;
PROV482;オッペルン;;;;;;;;;;X;;
PROV483;ポズナン;;;;;;;;;;X;;
PROV484;ラドム;;;;;;;;;;X;;
PROV485;ワルシャワ;;;;;;;;;;X;;
PROV486;カトヴィツェ;;;;;;;;;;X;;
PROV487;ルブリン;;;;;;;;;;X;;
PROV488;ジェシュフ;;;;;;;;;;X;;
PROV489;タルヌフ;;;;;;;;;;X;;
PROV490;コシチェ;;;;;;;;;;X;;
PROV491;ミシュコルツ;;;;;;;;;;X;;
PROV492;ゼゲド;;;;;;;;;;X;;
PROV493;ノヴィサド;;;;;;;;;;X;;
PROV494;ペトログラード;;;;;;;;;;X;;
PROV495;ティムショハラ;;;;;;;;;;X;;
PROV496;アラド;;;;;;;;;;X;;
PROV497;デブレツェン;;;;;;;;;;X;;
PROV498;オラデア;;;;;;;;;;X;;
PROV499;ウージュホロド;;;;;;;;;;X;;
PROV500;ストルイイ;;;;;;;;;;X;;
PROV501;リヴォフ;;;;;;;;;;X;;
PROV502;リヴネ;;;;;;;;;;X;;
PROV503;ブレスト・リフトスク;;;;;;;;;;X;;
PROV504;シェドルツェ;;;;;;;;;;X;;
PROV505;ビェルスク;;;;;;;;;;X;;
PROV506;ルーツィク;;;;;;;;;;X;;
PROV507;スタニスラオ;;;;;;;;;;X;;
PROV508;オストロウェンカ;;;;;;;;;;X;;
PROV509;スヴァウキ;;;;;;;;;;X;;
PROV510;ケーニヒスベルク;;;;;;;;;;X;;
PROV511;アリツゥス;;;;;;;;;;X;;
PROV512;ボローニャ;;;;;;;;;;X;;
PROV513;フィレンツェ;;;;;;;;;;X;;
PROV514;アンコーナ;;;;;;;;;;X;;
PROV515;ローマ;;;;;;;;;;X;;
PROV516;ペルージャ;;;;;;;;;;X;;
PROV517;ペスカラ;;;;;;;;;;X;;
PROV518;ラクイラ;;;;;;;;;;X;;
PROV519;ラティーナ;;;;;;;;;;X;;
PROV520;フォッジア;;;;;;;;;;X;;
PROV521;ナポリ;;;;;;;;;;X;;
PROV522;ポテンツァ;;;;;;;;;;X;;
PROV523;ターラント;;;;;;;;;;X;;
PROV524;レッジョ・ディ・カラブリア;;;;;;;;;;X;;
PROV525;パレルモ;;;;;;;;;;X;;
PROV526;メッシーナ;;;;;;;;;;X;;
PROV527;グルノーブル;;;;;;;;;;X;;
PROV528;アヴィニョン;;;;;;;;;;X;;
PROV529;リヨン;;;;;;;;;;X;;
PROV530;ジュネーヴ;;;;;;;;;;X;;
PROV531;トリノ;;;;;;;;;;X;;
PROV532;ベルン;;;;;;;;;;X;;
PROV533;チューリッヒ;;;;;;;;;;X;;
PROV534;カリャリ;サルディーニャ;;;;;;;;;;;X
PROV535;パルマ・デ・マリョルカ;;;;;;;;;;X;;
PROV536;ジローナ;;;;;;;;;;X;;
PROV537;リェイダ;;;;;;;;;;X;;
PROV538;ハミルトン;バミューダ;;;;;;;;;;;X
PROV539;マナグア;;;;;;;;;;X;;
PROV540;サンノゼ;;;;;;;;;;X;;
PROV541;ヴァンクーヴァー;;;;;;;;;;X;;
PROV542;リヴォルノ;;;;;;;;;;X;;
PROV543;カッシーノ;;;;;;;;;;X;;
PROV544;カターニア;;;;;;;;;;X;;
PROV545;サッサリ;サルディーニャ;;;;;;;;;;;X
PROV546;フランクフルト・アン・デア・オーダー;;;;;;;;;;X;;
PROV547;ヴュルツブルク;;;;;;;;;;X;;
