USA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
118;ジネラルエレクトロニクス;T128;8;1930;2110;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
119;フィラデルフィア海軍造船所;T129;6;1930;2110;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120;デトロイト戦車工廠;T_USA_DetroitArsenal2;7;1930;2110;artillery;electronics;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120;IBM社;T132;7;1930;2110;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
122;レッドストーン兵器廠;REDSTONE;9;1930;2110;rocketry;management;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
123;アメリカ航空宇宙局;T_USA_NASA;9;1930;2110;aeronautics;electronics;mathematics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
124;ノースロック社;USA04;7;1930;2110;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125;グラナン社;USA05;7;1930;2110;chemistry;electronics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
126;ノースロック・グラナン社;USA08;8;2110;2110;artillery;chemistry;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
127;ロックウィード;USA02;7;1930;2110;chemistry;artillery;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
128;ロックウィード・マーディン;USA06;8;2110;2110;chemistry;electronics;artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
129;プラッツ&ウィットニー;T132;8;1930;2110;rocketry;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
130;マーキン・ベルカー;T132;7;1930;2110;mechanics;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
131;マクダエル社;T132;7;1930;2110;chemistry;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
132;マクダエル・ドクラム社;USA03;9;2110;2110;chemistry;electronics;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
133;ノースアメリカーナ;T132;7;1930;2110;chemistry;artillery;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
134;アメリカ陸軍;T123;9;1930;2110;centralized_execution;combined_arms_focus;maneuver_tactics;training;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
135;アメリカ海軍;T124;9;1930;2110;carrier_tactics;centralized_execution;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
136;アメリカ空軍;T120;7;1930;2110;aeronautics;aircraft_testing;bomber_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
137;沿岸警備隊;T121;7;1930;2110;centralized_execution;naval_training;seamanship;small_taskforce_tactics;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
138;海兵隊;T127;8;1930;2110;combined_arms_focus;decentralized_execution;small_unit_tactics;training;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
139;アメリカ宇宙総軍;T125;8;1930;2110;aircraft_testing;bomber_tactics;decentralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
140;ロスアラモス国立研究所;losalamos;9;1930;2110;nuclear_physics;nuclear_engineering;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
