Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;ExU03ience;Loyalty;Type;PicU03e;Start Year;End Year;x
コースラヴァニ;7002127;U03;1973;1998;2004;2012;3;4;4096;0;0;5;2;L440030;1973;2100;x
モハンナ;7002128;U03;1973;1998;2004;2012;3;4;0;1;0;5;2;L440031;1973;2100;x
モイニ;7002129;U03;1973;1998;2004;2012;3;3;0;0;0;5;2;L440032;1973;2100;x
ナクジャヴァニ;7002130;U03;1973;1998;2004;2012;2;3;0;1;0;5;2;L440033;1973;2100;x
セパープール;7002131;U03;1973;1998;2004;2012;3;3;0;0;0;5;2;L440034;1973;2100;x
ヌーディン;7002132;U03;1973;1998;2004;2012;2;3;2;1;0;5;0;L440035;1973;2100;x
グーラム・フィルーズ;7002133;U03;1973;1998;2004;2012;2;2;0;0;0;5;0;L440036;1973;2100;x
バイプール;7002134;U03;1973;1998;2004;2012;2;3;128;1;0;5;0;L440037;1973;2100;x
ニザムプール;7002135;U03;1973;1998;2004;2012;1;4;2;1;0;5;0;L440038;1973;2100;x
ミアグーラム;7002136;U03;1973;1998;2004;2012;3;4;64;1;0;5;0;L440039;1973;2100;x
タハカミ;7002137;U03;1973;1998;2004;2012;3;3;131072;1;0;4;2;L440040;1973;2100;x
ラズマーラー;7002138;U03;1973;1998;2004;2012;1;5;16384;2;0;5;2;M53114;1973;2100;x
アブドゥル・アル・サウド;7002139;U03;1973;1998;2004;2012;0;2;1;0;0;5;0;L290000;1973;2100;x
アル・ジャバラー;7002140;U03;1973;1998;2004;2012;3;3;16;0;0;5;0;L290001;1973;2100;x
ブリンプ＝ウォージントン;7002141;U03;1973;1998;2004;2012;2;4;4;1;0;5;0;L290002;1973;2100;x
キャンベル＝ライス;7002142;U03;1973;1998;2004;2012;3;5;262271;1;0;5;0;L290003;1973;2100;x
コール;7002143;U03;1973;1998;2004;2012;3;4;0;0;0;5;0;L290004;1973;2100;x
クロンウェル;7002144;U03;1973;1998;2004;2012;3;5;262271;0;0;5;0;L290005;1973;2100;x
ファイサル・アル・サウド;7002145;U03;1973;1998;2004;2012;2;2;1;0;0;5;0;L290006;1973;2100;x
ハムディ;7002146;U03;1973;1998;2004;2012;2;4;2;1;0;5;0;L290007;1973;2100;x
ジャミール;7002147;U03;1973;1998;2004;2012;2;3;1;2;0;5;0;L290008;1973;2100;x
ケマル;7002148;U03;1973;1998;2004;2012;2;3;0;1;0;5;0;L290009;1973;2100;x
ハーリド・アル・サウド;7002149;U03;1973;1998;2004;2012;3;2;1;0;0;5;0;L290010;1973;2100;x
レスブリッジ＝ステュワート;7002150;U03;1973;1998;2004;2012;3;4;256;1;0;5;0;L290011;1973;2100;x
リッジー;7002151;U03;1973;1998;2004;2012;3;5;262271;0;0;5;0;L290012;1973;2100;x
マックレー;7002152;U03;1973;1998;2004;2012;3;4;2;0;0;5;0;L290013;1973;2100;x
マクニコル;7002153;U03;1973;1998;2004;2012;3;4;0;0;0;5;0;L290014;1973;2100;x
パワー＝カルネ;7002154;U03;1973;1998;2004;2012;3;4;32;0;0;5;0;L290015;1973;2100;x
ラフィ・ライス;7002155;U03;1973;1998;2004;2012;3;4;256;0;0;5;0;L290016;1973;2100;x
サリーム;7002156;U03;1973;1998;2004;2012;2;4;64;1;0;5;0;L290017;1973;2100;x
サウド・アル・サウド;7002157;U03;1973;1998;2004;2012;1;2;1;0;0;5;0;L290018;1973;2100;x
シャイフ;7002158;U03;1973;1998;2004;2012;3;3;0;1;0;5;0;L290019;1973;2100;x
ショー;7002159;U03;1973;1998;2004;2012;2;4;2;1;0;5;0;L290020;1973;2100;x
スマイス＝クーパー;7002160;U03;1973;1998;2004;2012;3;4;128;0;0;5;0;L290021;1973;2100;x
ウォーターハウス;7002161;U03;1973;1998;2004;2012;3;4;2;0;0;5;0;L290022;1973;2100;x
コステ;7002162;U03;1973;1998;2004;2012;3;4;0;0;0;5;1;L290023;1973;2100;x
ダウリング;7002163;U03;1973;1998;2004;2012;3;4;0;0;0;5;1;L290024;1973;2100;x
フラー＝ハンフリーズ;7002164;U03;1973;1998;2004;2012;3;4;1024;0;0;5;1;L290025;1973;2100;x
フラートン;7002165;U03;1973;1998;2004;2012;1;4;0;0;0;5;1;L290026;1973;2100;x
ゴードン＝リー;7002166;U03;1973;1998;2004;2012;2;4;0;1;0;5;1;L290027;1973;2100;x
ジャミール;7002167;U03;1973;1998;2004;2012;2;2;0;1;0;5;1;L290028;1973;2100;x
アブ・ハーダー;7002168;U03;1973;1998;2004;2012;3;2;0;0;0;5;2;L290029;1973;2100;x
ドーキンス;7002169;U03;1973;1998;2004;2012;3;4;0;0;0;5;2;L290030;1973;2100;x
イートン;7002170;U03;1973;1998;2004;2012;2;4;16384;1;0;5;2;L290031;1973;2100;x
フラートン;7002171;U03;1973;1998;2004;2012;2;3;131072;0;0;5;2;L290032;1973;2100;x
シャイフ;7002172;U03;1973;1998;2004;2012;3;3;0;1;0;5;2;L290033;1973;2100;x
アランクプ;7002173;U03;1973;1998;2004;2012;3;5;262271;1;0;4;0;L61000;1973;2100;x
アリカン;7002174;U03;1973;1998;2004;2012;2;5;262271;1;0;4;0;L61001;1973;2100;x
アルトゥンカル;7002175;U03;1973;1998;2004;2012;2;7;262271;2;0;5;0;L61002;1973;2100;x
アイグク;7002176;U03;1973;1998;2004;2012;3;5;262399;1;0;5;0;L61003;1973;2100;x
バランシェル;7002177;U03;1973;1998;2004;2012;3;5;262271;0;0;4;0;L61004;1973;2100;x
ボゼル;7002178;U03;1973;1998;2004;2012;3;4;32;0;0;5;0;L61005;1973;2100;x
チャクマク;7002179;U03;1973;1998;2004;2012;0;6;262271;1;0;4;0;L61006;1973;2100;x
カリスター;7002180;U03;1973;1998;2004;2012;2;5;262271;1;0;4;0;L61007;1973;2100;x
エルデルフン;7002181;U03;1973;1998;2004;2012;2;5;262399;1;0;4;0;L61008;1973;2100;x
ガタリ;7002182;U03;1973;1998;2004;2012;2;4;0;1;0;5;0;L61009;1973;2100;x
グルカン;7002183;U03;1973;1998;2004;2012;3;6;262527;0;0;5;0;L61010;1973;2100;x
グルラー;7002184;U03;1973;1998;2004;2012;2;4;256;1;0;4;0;L61011;1973;2100;x
グルマン;7002185;U03;1973;1998;2004;2012;3;5;262271;0;0;4;0;L61012;1973;2100;x
グルセル;7002186;U03;1973;1998;2004;2012;3;7;262271;1;0;4;0;L61013;1973;2100;x
グルズリン;7002187;U03;1973;1998;2004;2012;3;4;0;0;0;5;0;L61014;1973;2100;x
イノヌ;7002188;U03;1973;1998;2004;2012;1;4;4;2;0;5;0;L61015;1973;2100;x
カナトリ;7002189;U03;1973;1998;2004;2012;2;5;262271;0;0;4;0;L61016;1973;2100;x
カラベキル;7002190;U03;1973;1998;2004;2012;1;5;262271;1;0;4;0;L61017;1973;2100;x
メングク;7002191;U03;1973;1998;2004;2012;3;5;262271;1;0;4;0;L61018;1973;2100;x
ナジ・ティナズ;7002192;U03;1973;1998;2004;2012;2;4;0;1;0;5;0;L61019;1973;2100;x
ナムト;7002193;U03;1973;1998;2004;2012;1;6;262271;1;0;4;0;L61020;1973;2100;x
ノヤン;7002194;U03;1973;1998;2004;2012;2;5;262271;1;0;4;0;L61021;1973;2100;x
オムルタク;7002195;U03;1973;1998;2004;2012;2;5;262271;2;0;4;0;L61022;1973;2100;x
オルバイ;7002196;U03;1973;1998;2004;2012;2;5;262271;1;0;4;0;L61023;1973;2100;x
セリシク;7002197;U03;1973;1998;2004;2012;3;4;32;0;0;4;0;L61024;1973;2100;x
セヴェン;7002198;U03;1973;1998;2004;2012;3;5;262399;0;0;4;0;L61025;1973;2100;x
タグマク;7002199;U03;1973;1998;2004;2012;3;6;262271;1;0;4;0;L61026;1973;2100;x
トゥーデムル;7002200;U03;1973;1998;2004;2012;2;5;262271;1;0;4;0;L61027;1973;2100;x
トゥナボイル;7002201;U03;1973;1998;2004;2012;3;4;0;0;0;4;0;L61028;1973;2100;x
トゥラル;7002202;U03;1973;1998;2004;2012;3;5;262527;0;0;4;0;L61029;1973;2100;x
トゥルケス;7002203;U03;1973;1998;2004;2012;3;5;262271;0;0;3;0;L61030;1973;2100;x
ヴェヒーブ・パシャ;7002204;U03;1973;1998;2004;2012;2;6;262271;1;0;5;0;L61031;1973;2100;x
ヤムト;7002205;U03;1973;1998;2004;2012;2;6;262271;1;0;4;0;L61032;1973;2100;x
ヤジジュ;7002206;U03;1973;1998;2004;2012;3;6;262527;0;0;4;0;L61033;1973;2100;x
オクテム;7002207;U03;1973;1998;2004;2012;3;5;262271;0;0;5;0;L61034;1973;2100;x
オザルプ;7002208;U03;1973;1998;2004;2012;1;6;262271;2;0;4;0;L61035;1973;2100;x
オズドゥレク;7002209;U03;1973;1998;2004;2012;3;5;262271;1;0;4;0;L61036;1973;2100;x
カラク;7002210;U03;1973;1998;2004;2012;3;5;0;1;0;5;1;L61037;1973;2100;x
セベソイ;7002211;U03;1973;1998;2004;2012;1;4;0;1;0;4;1;L61038;1973;2100;x
ドゥザン;7002212;U03;1973;1998;2004;2012;2;5;0;0;0;5;1;L61039;1973;2100;x
ゴールカン;7002213;U03;1973;1998;2004;2012;3;4;0;0;0;5;1;L61040;1973;2100;x
コトルク;7002214;U03;1973;1998;2004;2012;2;5;0;1;0;5;1;L61041;1973;2100;x
コーヤ;7002215;U03;1973;1998;2004;2012;2;5;0;2;0;5;1;L61042;1973;2100;x
オルバイ;7002216;U03;1973;1998;2004;2012;2;5;0;0;0;4;1;L61043;1973;2100;x
ウンゲン;7002217;U03;1973;1998;2004;2012;2;5;0;2;0;4;1;L61044;1973;2100;x
ウゼンダル;7002218;U03;1973;1998;2004;2012;3;4;0;0;0;5;1;L61045;1973;2100;x
オヤルザン;7002219;U03;1973;1998;2004;2012;3;4;1024;0;0;5;1;L61046;1973;2100;x
アルパイ;7002220;U03;1973;1998;2004;2012;3;5;0;0;0;5;2;L61047;1973;2100;x
バランシェル;7002221;U03;1973;1998;2004;2012;3;5;0;0;0;4;2;L61048;1973;2100;x
ベルコズ;7002222;U03;1973;1998;2004;2012;2;5;0;1;0;4;2;L61049;1973;2100;x
エルセイ;7002223;U03;1973;1998;2004;2012;3;4;0;1;0;5;2;L61050;1973;2100;x
ガタリ;7002224;U03;1973;1998;2004;2012;2;5;0;1;0;5;2;L61051;1973;2100;x
ゴクセン;7002225;U03;1973;1998;2004;2012;3;5;8192;0;0;4;2;L61052;1973;2100;x
ヒタイ;7002226;U03;1973;1998;2004;2012;3;5;0;1;0;5;2;L61053;1973;2100;x
イルクカン;7002227;U03;1973;1998;2004;2012;3;5;131072;0;0;4;2;L61054;1973;2100;x
ナムト;7002228;U03;1973;1998;2004;2012;2;5;16384;2;0;5;2;L61055;1973;2100;x
サディク;7002229;U03;1973;1998;2004;2012;3;4;0;0;0;4;2;L61056;1973;2100;x
オルルンガト;7002230;U03;1973;1998;2004;2012;1;4;0;1;0;4;2;L61057;1973;2100;x
ユカル;7002231;U03;1973;1998;2004;2012;3;4;0;0;0;5;2;L61058;1973;2100;x
コルデカン;7002232;U03;1973;1998;2004;2012;2;4;4;1;0;5;0;L61059;1973;2100;x
ムジル;7002233;U03;1973;1998;2004;2012;1;5;262271;2;0;5;0;L61060;1973;2100;x
アル＝アブード;7002234;U03;1973;1998;2004;2012;3;2;0;0;0;5;0;L529000;1973;2100;x
アル＝アラブ;7002235;U03;1973;1998;2004;2012;3;2;128;0;0;5;0;L529001;1973;2100;x
アル＝ハシク;7002236;U03;1973;1998;2004;2012;3;2;1;0;0;5;0;L529002;1973;2100;x
アウーン;7002237;U03;1973;1998;2004;2012;3;2;128;0;0;5;0;L529003;1973;2100;x
アッザム;7002238;U03;1973;1998;2004;2012;3;2;256;0;0;5;0;M529057;1973;2100;x
バラカト;7002239;U03;1973;1998;2004;2012;2;2;2;1;0;5;0;L529005;1973;2100;x
ビタル;7002240;U03;1973;1998;2004;2012;3;2;0;0;0;5;0;L529006;1973;2100;x
カーテニアン;7002241;U03;1973;1998;2004;2012;3;2;64;0;0;5;0;L529007;1973;2100;x
カゾー;7002242;U03;1973;1998;2004;2012;1;4;4;2;0;5;0;M529008;1973;2100;x
A・チェハブ;7002243;U03;1973;1998;2004;2012;3;2;32;0;0;5;0;L529009;1973;2100;x
F・チェハブ;7002244;U03;1973;1998;2004;2012;1;3;0;2;0;5;0;M529056;1973;2100;x
ダヘル;7002245;U03;1973;1998;2004;2012;3;2;1;0;0;5;0;L529011;1973;2100;x
フィネ;7002246;U03;1973;1998;2004;2012;3;4;1;0;0;5;0;L529012;1973;2100;x
フジュラ;7002247;U03;1973;1998;2004;2012;3;3;0;0;0;5;0;L529013;1973;2100;x
ガネム;7002248;U03;1973;1998;2004;2012;2;2;2;1;0;5;0;M529053;1973;2100;x
ハルブ;7002249;U03;1973;1998;2004;2012;3;2;1;0;0;5;0;M529052;1973;2100;x
ジャド;7002250;U03;1973;1998;2004;2012;3;2;1;0;0;5;0;M529059;1973;2100;x
クラト;7002251;U03;1973;1998;2004;2012;3;2;0;0;0;5;0;L529017;1973;2100;x
ラフード;7002252;U03;1973;1998;2004;2012;2;2;16;1;0;5;0;L529018;1973;2100;x
ナウファイ;7002253;U03;1973;1998;2004;2012;2;2;0;1;0;5;0;M529045;1973;2100;x
オベイド;7002254;U03;1973;1998;2004;2012;3;2;1;0;0;5;0;L529020;1973;2100;x
ペルティエ;7002255;U03;1973;1998;2004;2012;2;2;0;1;0;5;0;M529007;1973;2100;x
ラマル;7002256;U03;1973;1998;2004;2012;3;3;2;1;0;5;0;L529022;1973;2100;x
ルーミアンツォフ;7002257;U03;1973;1998;2004;2012;2;4;256;1;0;5;0;M529054;1973;2100;x
サーブ;7002258;U03;1973;1998;2004;2012;2;3;32;1;0;5;0;L529024;1973;2100;x
シュマイト;7002259;U03;1973;1998;2004;2012;2;2;4;1;0;5;0;L529025;1973;2100;x
スレイマン;7002260;U03;1973;1998;2004;2012;3;2;4;0;0;5;0;L529026;1973;2100;x
タフーシアン;7002261;U03;1973;1998;2004;2012;3;2;256;0;0;5;0;L529027;1973;2100;x
