##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;エラー:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;;エラー:510;X
NUKES_LOW_CAP;原子炉が小さすぎるため原子爆弾を製造できません。;Our Nuclear Reactor is too small to allow A-Bomb production.;;;;;;;;;X
##;;;;;;;;;;;X
CG_NEED;消費財の需要;Consumer Goods Need;;;;;;;;;X
##;;;;;;;;;;;X
OIL_DRO;現在の石油採取量は1日あたり%.2fです。\n我が軍の石油の消費量は1日あたり%.2fです。\n石油がなくなると、エネルギーが%.2fの比率で石油に変換されます。;We are currently producing %.2f oil each day.\nOur armed forces use %.2f each day.\nIf we lack oil, energy will be converted at a %.2f ratio;;;;;;;;;X
METAL_DRO;現在の金属採掘量は1日あたり%.2fです。\n我が国の工場がフル稼動するには1日あたり%.2fの金属が必要です。;We are currently producing %.2f metal each day.\nOur industries require %.2f metal daily to work at maximum capacity.;;;;;;;;;X
RARE_MATERIALS_DRO;現在の希少資源の生産量は1日あたり%.2fです。\n我が国の工場がフル稼動するには1日あたり%.2fの希少資源が必要です。\n希少資源がなくなると、石油が%.2fの比率で希少資源に変換されます。;We are currently producing %.2f rare materials each day.\nOur industries require %.2f rare materials daily to work at maximum capacity.\nIf we lack rare materials, oil will be converted at a %.2f ratio;;;;;;;;;X
RES_DRO;1日あたりの変化： %.2f;Daily Change: %.2f;;;;;;;;;X
RES_DRO_PROD;\n 自国での生産量： %.2f;\n Home Produced: %.2f;;;;;;;;;X
RES_DRO_TRADE_IN;\n 輸入量： %.2f;\n Traded For: %.2f;;;;;;;;;X
RES_DRO_PUPPET;\n 属国より： %.2f;\n From Puppets: %.2f;;;;;;;;;X
RES_DRO_CONVOY_IN;\n 船団による搬入量： %.2f;\n Convoyed In: %.2f;;;;;;;;;X
RES_DRO_CONVERTED;\n 変換した量： %.2f;\n Converted: %.2f;;;;;;;;;X
RES_DRO_TRADE_OUT;\n 輸出量： %.2f;\n Traded Away: %.2f;;;;;;;;;X
RES_DRO_CONVOY_OUT;\n 船団による搬出量： %.2f;\n Convoyed Out: %.2f;;;;;;;;;X
RES_DRO_MASTER;\n 宗主国へ： %.2f;\n To Master: %.2f;;;;;;;;;X
RES_DRO_USAGE;\n 使用量： %.2f;\n Usage: %.2f;;;;;;;;;X
RES_DRO_ALLIED_USAGE;\n 同盟国の使用量： %.2f;\n Allied Usage: %.2f;;;;;;;;;X
RES_DRO_OVER_STOCKPILE_LIMIT_LOSS;\n 超過備蓄の損失量： %.2f;\n Over stockpile limit loss: %.2f;;;;;;;;;X
RES_DRO_STOCKPILE_LIMIT;\n 最大備蓄量： %.0f (%s%.0f);\n Max stockpile: %.0f (%s%.0f);;;;;;;;;X
RES_DRO_CRITICAL_STOCKPILE;\n 危機水準備蓄量： %.0f (%s%.0f);\n Critical stockpile: %.0f (%s%.0f);;;;;;;;;X
RES_DRO_DESIRED_STOCKPILE;\n 理想的な備蓄量： %.0f (%s%.0f);\n Desired stockpile: %.0f (%s%.0f);;;;;;;;;X
RES_DRO_CONVOYED_FROM_PUPPETS;\n 属国からの搬入量： %.2f;\n Convoyed from puppets: %.2f;;;;;;;;;X
RES_DRO_PUPPET_TO_PROVINCIAL_DEPOTS;\n 属国の備蓄より： (%.2f);\n From puppets to depots: (%.2f);;;;;;;;;X
RES_OFFMAP; マップ外での生産量： %.2f; Off-map Production: %.2f;;;;;;;;;X
ENERGY_DRO;現在のエネルギー生産量は1日あたり%.2fです。\n我が国の工場がフル稼動するには1日あたり%.2fのエネルギーが必要です。;We are currently producing %.2f energy each day.\nOur industries require %.2f energy daily to work at maximum capacity.;;;;;;;;;X
SUPPLIES_DRO;現在の物資生産量は1日あたり%.2fです。\n我が国の軍は1日あたり%.2fの物資を必要とします。;We are currently producing %.2f supplies each day.\nOur troops need %.2f supplies each day.;;;;;;;;;X
IC_DRO;工業力（IC）は工場の生産能力を表します。\n基本ICはそのプロヴィンスのもともとのICです。\n実質ICは基本ICが技術や大臣などの影響で修正され\nた数値です。\n余剰ICは必要以上に割り当てられたICの量です。\nIC1ポイントにつき、1日あたりエネルギー2ポイント、金属\n1ポイント、希少資源1/2ポイントが必要となります。\n 余剰IC： %d。実質IC： %d。基本IC： %d。\n;Industrial Capacity (IC) is the production capacity of your industries. Base IC is the amount of IC in your provinces. Available IC is the base total modified by technology, ministers, etc. Wasted IC is the amount allocated in excess of need. Each IC needs 2 Energy, 1 Metal and 1/2 Rare Material every day.\n   Wasted IC: %d. Available IC: %d. Base IC: %d.\n;;;;;;;;;X
ROL_IC_MINISTER;\n  大臣による影響： %.1f (%.f\%%);\n  Minister Effect: %.1f (%.f\%%);;;;;;;;;X
ROL_IC_DISSENT;\n  パルチザンによる影響： %.1f (%.f\%%);\n  Partisan Effect:%.1f (%.f\%%);;;;;;;;;X
ROL_IC_POLICY;\n  政策による影響： %.1f (%.f\%%);\n  Policy Effect: %.1f (%.f\%%);;;;;;;;;X
ROL_IC_TECH;\n  技術による影響： %.1f (%.f\%%);\n  Tech Effect: %.1f (%.f\%%);;;;;;;;;X
ROL_IC_DIFF;\n  難易度による影響： %.1f (%.f\%%);\n  Difficulty Effect: %.1f (%.f\%%);;;;;;;;;X
ROL_IC_PEACETIME;\n  平時であることによる影響： %.1f (%.f\%%);\n  Peacetime Effect: %.1f (%.f\%%);;;;;;;;;X
ROL_IC_RESOURCE;\n  資源の不足による影響： %.1f (%.f\%%);\n  Resource Lack Effect: %.1f (%.f\%%);;;;;;;;;X
ROL_IC_SUM;\n== 実質IC： %d;\n== Available IC: %d;;;;;;;;;X
DAILY_DISSENT;国民不満度は1日あたり%.2fずつ変化します。;Our dissent will change by %.2f percent each day.;;;;;;;;;X
TC_DRO;輸送能力（TC）とはトラックや鉄道、はしけなどのことです。TCが不足すると、師団の移動や指揮統制率回復のスピードが遅くなります。TCの値はICによって決まります。\nIC1ポイントにつき%.1fのTCが得られます。\n使用TC： %d  実質TC： %d\n;Transport Capacity (TC) represents trucks, trains and river barges. When available TC is overloaded, divisions move and regain organization more slowly. TC is a direct function of IC - each point of IC gives you %.1f TC.\n   Used TC: %d. Available TC: %d.\n;;;;;;;;;X
ROL_TC_SUPPLY;\n  燃料と物資の輸送： %.2f;\n  Fuel and Supply Transportation: %.2f;;;;;;;;;X
ROL_TC_OCCUPIED;\n  占領した領土の維持： %.2f;\n  Occupied Territory Maintenance: %.2f;;;;;;;;;X
ROL_TC_UNDEP;\n  再配置による負担： %.2f;\n  Redeployment Load: %.2f;;;;;;;;;X
ROL_TC_PARTISANS;\n パルチザン活動： %.2f;\n  Partisan Activity: %.2f;;;;;;;;;X
ROL_TC_EFF;\n== 現在の補給効率： %.2f\%%;\n== Current supply efficiency: %.2f\%%;;;;;;;;;X
ROL_TC_TECHMOD;\nICからTC変換における技術修正： %+.f\%%;\n Technology Modifier On IC->TC: %+.f percent.;;;;;;;;;X
ROL_TC_MINMOD;\nICからTC変換における大臣修正： %+.f\%%\n;\n Minister Modifier On IC->TC: %+.f percent.\n;;;;;;;;;X
ROL_TC_BASES;\n  未配置基地： %.2f;\n  Undeployed Bases: %.2f;;;;;;;;;X
ROL_TC_DEVS;\n未配置のプロヴィンス施設： %.2f;\n  Undeployed Provincial Development: %.2f;;;;;;;;;X
ROL_FREE_IC;\n  マップ外IC;\n  Free IC: %.1f;;;;;;;;;X
ROL_IC_WARTIME;\n  戦時補正： %.1f (%.f\%%);\n  Wartime Effect: %.1f (%.f\%%);;;;;;;;;X
ROL_IC_IS_PUPPET;\n  属国補正： %.1f (%.f\%%);\n  Puppet Effect: %.1f (%.f\%%);;;;;;;;;X
##;;;;;;;;;;;X
FUELPROBLEM;燃料がないため、これらのユニットは移動できません。;These units lack fuel, so they can't move.;;;;;;;;;X
OUTOFRANGE;ユニットの作戦行動半径を超えています。;This is beyond the range of these units.;;;;;;;;;X
RANGE_INFO;%s\n（距離%.f km、作戦行動半径%.fkm）;%s\n(Distance %.f km, Range %.fkm);;;;;;;;;X
##;;;;;;;;;;;X
KEEPCURRENT;現政権を維持する;Keep Current Government;;;;;;;;;X
########################################;;;;;;;;;;;X
# Production Menu;;;;;;;;;;;X
########################################;;;;;;;;;;;X
CONVOYINFO1;運行中の輸送船団： %d/%d;Convoys Running: %d/%d.;;;;;;;;;X
CONVOYINFO2;輸送船%d隻 / 護衛艦%d隻;%d transports / %d escorts.;;;;;;;;;X
PROD_NEED;必要量%.2f;Need %.2f;;;;;;;;;X
SLIDER_PRODUCTION;このスライダーでICを軍事ユニットの編成に割り当てます。\n;This slider allocates IC to the production of military units.;;;;;;;;;X
SLIDER_CONSUMER;このスライダーでICを消費財の生産に割り当てます。;This slider allocates IC to the production of consumer goods.;;;;;;;;;X
SLIDER_SUPPLIES;このスライダーでICを物資の生産に割り当てます。;This slider allocates IC to the production of supplies.;;;;;;;;;X
SLIDER_REINFORCEMENT;このスライダーでICをダメージを受けたユニットの戦力補充と修理に割り当てます。;This slider allocates IC to reinforcement and repair of damaged units.;;;;;;;;;X
SLIDER_UPGRADE;このスライダーでICを空軍師団と陸軍師団の装備の改良に割り当てます。;This slider allocates IC to the upgrade of Air, Land and Sea units with new equipment.;;;;;;;;;X
IWP_NOT_ALLOWED;必要な技術が実用化されていません。;We do not have the necessary technology.;;;;;;;;;X
DEL_SLIDER_CONSUMER;日々の収入： %+.2f\n - 産業から： %+.2f\n - 研究支出： %+.2f\n - 諜報支出： %+.2f\n - 貿易： %+.2f\n日々の国民不満度状況： %+.2f\n;Daily Money: %+.2f\n - From Industries: %+.2f\n - Research Cost: %+.2f\n - Intelligence Cost: %+.2f\n - Trade: %+.2f\nDaily Dissent Progress: %+.2f\n;;;;;;;;;X
DEL_SLIDER_CONSUMER3;日々の収入： %+.2f\n - 産業から： %+.2f\n - 研究支出： %+.2f\n - 諜報支出： %+.2f\n - 貿易： %+.2f\n - 属国から： %+.2f\n日々の国民不満度状況： %+.2f\n;Daily Money: %+.2f\n - From Industries: %+.2f\n - Research Cost: %+.2f\n - Intelligence Cost: %+.2f\n - Trade: %+.2f\n - From Puppets: %+.2f\nDaily Dissent Progress: %+.2f\n;;;;;;;;;X
DEL_SLIDER_REINFORCEMENT;現在のスライダー設定では、軍の%.2f\%%が毎日戦力補充を受けます。\n現在の戦力補充に必要な労働力： %.2f\n;%.2f percent of our forces will receive reinforcements each day with this slider setting.\nManpower Need for current reinforcements: %.2f\n;;;;;;;;;X
DEL_SLIDER_UPGRADE;現在のスライダー設定では、軍の%.2f\%%が改良されます。\n - 旧式化した師団： %d\n - 旧式化した旅団： %d;We are able to upgrade %.2f percent of our forces with this slider setting.\nObsolete Divisions: %d\nObsolete Brigades: %d;;;;;;;;;X
DEL_SLIDER_PRODUCTION;現在のスライダー設定では、予定した生産量の%.2f\%%が継続できます。;We are able to sustain %.2f percent of our currently planned production with this slider setting.;;;;;;;;;X
DEL_SLIDER_SUPPLIES2;1日あたりの物資生産量： %.2f\n軍隊の1日あたりの最低必要量： %.2f\n1日あたりの輸入量： %.2f\n1日あたりの輸出量： %.2f;We will produce %.2f supplies daily.\nOur troops need at least %.2f each day.\nWe are getting %.2f from trade each day.\nWe are trading away %.2f each day.;;;;;;;;;X
DEL_SLIDER_SUPPLIES3;現在の物資生産量は1日あたり%.2fです。\n 我が国の軍は1日あたり%.2fの物資を必要とします。\n 我が国は1日あたり%.2fの物資を輸入しています。\n 我が国は1日あたり%.2fの物資を輸出しています。\n 我が国の属国から1日あたり%.2fの物資を輸入しています。\n 我が国は1日あたり%.2fの物資を輸送船で搬出しています。.;We will produce %.2f supplies daily.\nOur troops need at least %.2f each day.\nWe are getting %.2f from trade each day.\nWe are trading away %.2f each day\nWe are getting from puppets %.2f each day\nWe are convoying from puppets %.2f each day.;;;;;;;;;X
##;;;;;;;;;;;X
DEV_UPGR_LINE_IRO;改良の委任;Auto-upgrade;;;;;;;;;X
DEV_UPGR_LINE_DRO;現在生産中のものが完了次第、ユニットと旅団を最新型に改良します。連続生産ボーナスは減少します。プロヴィンス建造物には無効です。;Upgrade unit and brigades to the latest available models after the completion of the current item. This may reduce the accumulated gearing bonus.\nDisabled for buildings.;;;;;;;;;X
DEV_INC_LINE_IRO;連続生産数を増やす;Increase line length ;;;;;;;;;X
DEV_INC_LINE_DRO;ショートカットキー：\nCTL + SHIFT： 連続生産数を最大にする\nCTL： +10\nSHIFT： +5\n原子炉とロケット試験場を含めたプロヴィンス建設物に\nは無効です。\n最大連続生産数は99までです。\nただしプロヴィンス建設物は除きます。\n原子炉とロケット試験場の連続生産数は現在の技術で\n許容されたレベルに依存し、並列生産分を含め、\n最大10以上には設定できません。;Available short-cuts:\nControl + Shift keys: Set line length to the maximum.\nControl key: +10\nShift key: +5\nThese short-cuts are not valid for buildings set in provinces, Nuclear Reactors or Rocket test sites. Max production line length is 99 items, but it could be less for building set in provinces. Production line length for Rocket test sites and Nuclear reactors cannot be higher than 10 and depends on the current levels, max allowed level and parallel builds.;;;;;;;;;X
DEV_DEC_LINE_IRO;連続生産数を減らす;Decrease line length ;;;;;;;;;X
DEV_DEC_LINE_DRO;ショートカットキー：\nCTL + SHIFT： 連続生産数を最小にする\nCTL： -10\nSHIFT： -5\n生産ラインは現在の生産数以下の数値には設定できません。;Available short-cuts:\nControl + Shift keys: Set line length to the minimum\nControl key: -10\nShift key: -5\nA production line length cannot be lower than the already produced items plus one.;;;;;;;;;X
CONFIRM_CANCEL_PROD; ｧY%sｧｧ 生産を本当に中止してよろしいですか？;Do you really want to cancel ｧY%sｧｧ production?;;;;;;;;;X
DEV_CURRENT_PROGRESS;\n現在の状況： %.2f\%%;\nCurrent Progress: %.2f\%%;;;;;;;;;X
##;;;;;;;;;;;X
########################################;;;;;;;;;;;X
#  Convoy Menu;;;;;;;;;;;X
########################################;;;;;;;;;;;X
CONVOY_TRANSPORTSNEEDED;この輸送船団が正常に運航するには、輸送船が最低でも%d隻必要です。;This convoy needs at least %d transports to operate properly.;;;;;;;;;X
CONVOY_DAILYSHIPPING;この輸送船団は以下のものを毎日運びます。\n;This convoy ships the following each day.\n;;;;;;;;;X
CONVOY_ENERGY;エネルギー： %.1f \n;%.1f energy\n;;;;;;;;;X
CONVOY_RARE_MATERIALS;希少資源： %.1f \n;%.1f rare materials\n;;;;;;;;;X
CONVOY_OIL;石油： %.1f \n;%.1f oil\n;;;;;;;;;X
CONVOY_METAL;金属： %.1f \n;%.1f metal\n;;;;;;;;;X
CONVOY_SUPPLIES;物資： %.1f \n;%.1f supplies\n;;;;;;;;;X
CONVOY_NADA;（なし）;(nothing);;;;;;;;;X
CONVOY_CREATE_RES;資源輸送船団を編成;Create Resource Convoy;;;;;;;;;X
CONVOY_CREATE_SUP;物資輸送船団を編成;Create Supply Convoy;;;;;;;;;X
########################################;;;;;;;;;;;X
# Convoy Detailed Info Menu;;;;;;;;;;;X
########################################;;;;;;;;;;;X
CIW_TRANSPORTS;輸送船団;Convoy Transports;;;;;;;;;X
CIW_ESCORTS;護衛艦;Convoy Escorts;;;;;;;;;X
CONVOY_DELETE;輸送船団の運航を中止;Cancel Convoy;;;;;;;;;X
CONVOY_DELETE_IRO;輸送船団の航路を廃止し、輸送船と護衛艦をプールに戻します。;The convoy route will be canceled, and the remaining transports and escorts will be returned to the pool.;;;;;;;;;X
########################################;;;;;;;;;;;X
# TIME MENU;;;;;;;;;;;X
########################################;;;;;;;;;;;X
##;;;;;;;;;;;X
SELECT_BLITZ;突破したいプロヴィンスを選択してください。;Select Province to Breakthrough to.;;;;;;;;;X
##;;;;;;;;;;;X
CRB_AMPH;強襲上陸は攻撃側に大きなペナルティを科します。;Amphibious assaults give a large penalty to the attacker.;;;;;;;;;X
CRB_BASE;味方の航空基地があるプロヴィンスか、それに隣接するプロヴィンスの上空を飛ぶ航空ユニットは少し能力が上昇します。;Being in the same province as your airbase or adjacent to it, gives a slight bonus to performance of airunits.;;;;;;;;;X
CRB_BLI;吹雪の最中に攻勢に出ることはほとんど不可能です。;Blizzards make it almost impossible to conduct any offensive operations.;;;;;;;;;X
CRB_CARR;卓越した空母ドクトリンを持っていると、戦いが有利に運びます。;Superior carrier doctrine gives an advantage in battle.;;;;;;;;;X
CRB_DISSENT;国民不満度が上昇すると軍の能力が低下します。;Dissent affects the forces, reducing their effectiveness.;;;;;;;;;X
