DFR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
506125;Head of Government;フリッツ・ドールス;70;NS;Naive Optimist;High;M506125;x
506126;Foreign Minister;ゲルハルト・クリューガー;70;NS;Biased Intellectual;High;M506126;x
506127;Minister of Armament;ヴォルフ・フォン・ヴェスタープ伯爵;70;NS;Economist Minister;High;M506127;x
506128;Minister of Security;ヴォルフガング・ファルク;70;NS;Crime Fighter;High;M506128;x
506129;Head of Military Intelligence;ティース・クリストファーゼン;70;NS;Industrial Specialist;High;M506129;x
506130;Chief of Staff;ヘルベルト・シュヴェイガー;70;NS;School of Fire Support;High;M506130;x
506131;Chief of Army;アウグスト・フィンケ;70;NS;Elastic Defence Doctrine;High;M506131;x
506132;Chief of Navy;カール・ヴァルデマール・シュッツ;70;NS;Indirect Approach Doctrine;High;M506132;x
506133;Chief of Air Force;ハンス＝ウルリヒ・ルーデル;70;NS;Army Aviation Doctrine;High;M506133;x
506134;Head of Military Intelligence;カール・ヴァルデマール・シュッツ;70;NS;Political Specialist;High;M506132;x
506135;Head of State;マルティン・ムスグヌク;70;FA;Die-hard Reformer;High;M506135;x
506136;Head of Government;ゲルハルト・フレイ;70;FA;Naive Optimist;High;M506136;x
506137;Head of State;クルト・バッハマン;70;ST;Benevolent Gentleman;High;M506137;x
506138;Head of Government;ヘルベルト・ミース;70;ST;Ambitious Union Boss;High;M506138;x
506139;Foreign Minister;クラウス・ライナー・レール;70;ST;Ideological Crusader;High;M506139;x
506140;Minister of Armament;クルト・バッハマン;70;ST;laissez-faire capitalist;High;M506137;x
506141;Minister of Security;ハインツ・シュテール;70;ST;Silent Lawyer;High;M506141;x
506142;Head of Military Intelligence;クラウス・ライナー・レール;70;ST;Political Specialist;High;M506139;x
506144;Chief of Army;ブルーノ・バハラー;70;ST;Elastic Defence Doctrine;High;M506144;x
506145;Chief of Navy;ヨーゼフ・アンゲンフォルト;70;ST;Indirect Approach Doctrine;High;M506145;x
506146;Chief of Air Force;カール・ヘンゼル;70;LWR;Air Superiority Doctrine;High;M506146;x
506147;Minister of Armament;クルト・ミュラー;70;ST;Resource Industrialist;High;M506147;x
506148;Head of State;ヘルベルト・ミース;74;ST;Autocratic Charmer;High;M506138;x
