AUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
23037;Head of Government;フランツ・ヴラニツキー;86;SD;Flamboyant Tough Guy;High;M23037;x
23038;Head of Government;トーゼフ・リーグラー;90;SC;Industrial Prime;High;M23038;x
23039;Head of Government;エルハルト・ブシェク;94;SC;Silent Workhorse;High;M23039;x
23040;Head of Government;ヴォルフガング・シュッセル;95;SC;Ideological Prime;High;M23040;x
23041;Head of Government;ヴィクトル・クリーマ;97;SD;Corporate Suit;High;M23041;x
23042;Head of Government;アルフレート・グーゼンバウアー;2002;SD;Naive Optimist;High;M23042;x
23043;Head of Government;ヴェルナー・ファイマン;2008;SD;Industrial Prime;High;M23043;x
23044;Head of Government;ヴィルヘルム・モルテラー;2008;SC;Industrial Prime;High;M23044;x
23045;Head of Government;ミヒャエル・シュピンデレッガー;2010;SC;Naive Optimist;High;M23045;x
23046;Foreign Minister;エーリヒ・ビールカ;74;SD;Ideological Crusader;High;M23046;x
23047;Foreign Minister;ヴィリバルド・パール;76;SD;Great Compromiser;High;M23047;x
23048;Foreign Minister;エルヴィン・ランツ;83;SD;Biased Intellectual;High;M23048;x
23049;Foreign Minister;レオポルト・グラッツ;84;SD;Great Compromiser;High;M23049;x
23050;Foreign Minister;ペーター・ヤンコヴィッチ;86;SD;The Cloak N Dagger Schemer;High;M23050;x
23051;Foreign Minister;アロイス・モック;87;SD;Biased Intellectual;High;M23035;x
23052;Foreign Minister;アロイス・モック;70;SC;Biased Intellectual;High;M23035;x
23053;Foreign Minister;ヴォルフガング・シュッセル;95;SD;Ideological Crusader;High;M23040;x
23054;Foreign Minister;ヴォルフガング・シュッセル;95;SC;Ideological Crusader;High;M23040;x
23055;Foreign Minister;ベニータ・フェレロ＝ヴァルドナー;2000;SC;Great Compromiser;High;M23030;x
23056;Foreign Minister;ウルスラ・プラスニク;2004;SC;Biased Intellectual;High;M23056;x
23057;Foreign Minister;ウルスラ・プラスニク;2007;SD;Biased Intellectual;High;M23056;x
23058;Foreign Minister;ミヒャエル・シュピンデレッガー;2008;SD;General Staffer;High;M23045;x
23059;Foreign Minister;ミヒャエル・シュピンデレッガー;2008;SC;General Staffer;High;M23045;x
23060;Foreign Minister;セバスティアン・クルツ;2013;SD;Apologetic Clerk;High;M23060;x
23061;Foreign Minister;セバスティアン・クルツ;2013;SC;Apologetic Clerk;High;M23060;x
23062;Minister of Armament;ヘルベルト・サルヒェル;81;SD;Man of the Workers;High;M23062;x
23063;Minister of Armament;フランツ・ヴラニツキー;84;SD;Former Banker;High;M23037;x
23064;Minister of Armament;フェルディナント・ラチナ;86;SD;laissez-faire capitalist;High;M23064;x
23065;Minister of Armament;アンドレアス・シュタリバヒェル;95;SD;Economist Minister;High;M23065;x
23066;Minister of Armament;ヴィクトル・クリーマ;96;SD;Economist Minister;High;M23041;x
23067;Minister of Armament;ルドルフ・エドリンガー;97;SD;laissez-faire capitalist;High;M23067;x
23068;Minister of Armament;カール＝ハインツ・グラッサー;2000;SC;Economist Minister;High;M23068;x
23069;Minister of Armament;ヴィルヘルム・モルテラー;2007;SD;Resource Industrialist;High;M23044;x
23070;Minister of Armament;ヴィルヘルム・モルテラー;2007;SC;Resource Industrialist;High;M23044;x
23071;Minister of Armament;ヨーゼフ・プレール;2008;SD;Resource Industrialist;High;M23071;x
23072;Minister of Armament;ヨーゼフ・プレール;2008;SC;Resource Industrialist;High;M23071;x
23073;Minister of Armament;マリア・フェクター;2011;SD;Economist Minister;High;M23073;x
23074;Minister of Armament;マリア・フェクター;2011;SC;Economist Minister;High;M23073;x
23075;Minister of Armament;ミヒャエル・シュピンデレッガー;2013;SD;Administrative Genius;High;M23045;x
23076;Minister of Armament;ミヒャエル・シュピンデレッガー;2013;SC;Administrative Genius;High;M23045;x
23077;Minister of Security;エルヴィン・ランツ;77;SD;Compassionate Gentleman;High;M23048;x
23078;Minister of Security;カール・ブレハ;83;SD;Man of the People;High;M23078;x
23079;Minister of Security;フランツ・レーシュナク;89;SD;Silent Lawyer;High;M23079;x
23080;Minister of Security;カスパール・エイネム;95;SD;Crime Fighter;High;M23080;x
23081;Minister of Security;カール・シュレーグル;97;SD;Silent Lawyer;High;M23081;x
23082;Minister of Security;エルンスト・シュトラッサー;2000;SC;Man of the People;High;M23082;x
23083;Minister of Security;ギュンター・プラッター;2004;SC;Prince of Terror;High;M23083;x
23084;Minister of Security;リーゼ・プロコップ;2004;SC;Compassionate Gentleman;High;M23084;x
23085;Minister of Security;ヴォルフガング・シュッセル;70;SC;Efficient Sociopath;High;M23040;x
23086;Minister of Security;ギュンター・プラッター;2007;SD;Prince of Terror;High;M23083;x
23087;Minister of Security;ヴィルヘルム・モルテラー;2008;SD;Man of the People;High;M23044;x
23088;Minister of Security;ヴィルヘルム・モルテラー;2008;SC;Man of the People;High;M23044;x
23089;Minister of Security;マリア・フェクター;2008;SD;Silent Lawyer;High;M23073;x
23090;Minister of Security;マリア・フェクター;2008;SC;Silent Lawyer;High;M23073;x
23091;Minister of Security;ヨハンナ・ミクル＝ライトナー;2011;SD;Compassionate Gentleman;High;M23091;x
23092;Minister of Security;ヨハンナ・ミクル＝ライトナー;2011;SC;Compassionate Gentleman;High;M23091;x
23093;Head of Military Intelligence;アレクサンダー・ブシェク;70;SC;Logistics Specialist;High;M23006;x
23094;Head of Military Intelligence;ヨハン・ウルリヒ;80;SD;Dismal Enigma;High;M23094;x
23095;Head of Military Intelligence;ヨハン・ウルリヒ;80;SC;Dismal Enigma;High;M23094;x
23096;Head of Military Intelligence;アルフレート・シェッツ;90;SC;Technical Specialist;High;M23096;x
23097;Head of Military Intelligence;アルフレート・シェッツ;90;SD;Technical Specialist;High;M23096;x
23098;Head of Military Intelligence;フリッツ・ヴェーバー;2003;SC;Logistics Specialist;High;M23098;x
23099;Head of Military Intelligence;フリッツ・ヴェーバー;2003;SD;Logistics Specialist;High;M23098;x
23100;Head of Military Intelligence;エルヴィン・ポトクニク;2010;SD;Dismal Enigma;High;M23100;x
23101;Head of Military Intelligence;エルヴィン・ポトクニク;2010;SC;Dismal Enigma;High;M23100;x
23102;Chief of Staff;アントン・レープ;70;SC;School of Defence;High;M23007;x
23103;Chief of Staff;フーベルト・ヴィンゲルバウアー;77;SD;School of Psychology;High;M23103;x
23104;Chief of Staff;フーベルト・ヴィンゲルバウアー;77;SC;School of Psychology;High;M23103;x
23105;Chief of Staff;ハインツ・シャルフ;81;SD;School of Fire Support;High;M23105;x
23106;Chief of Staff;ハインツ・シャルフ;81;SC;School of Fire Support;High;M23105;x
23107;Chief of Staff;オットマー・タウシッツ;86;SD;School of Manoeuvre;High;M23107;x
23108;Chief of Staff;オットマー・タウシッツ;86;SC;School of Manoeuvre;High;M23107;x
23109;Chief of Staff;カール・マイヘン;90;SD;School of Psychology;High;M23109;x
23110;Chief of Staff;カール・マイヘン;90;SC;School of Psychology;High;M23109;x
23111;Chief of Staff;ホルスト・プレイナー;99;SD;School of Defence;High;M23111;x
23112;Chief of Staff;ホルスト・プレイナー;99;SC;School of Defence;High;M23111;x
23113;Chief of Staff;ローラント・エルトル;2002;SD;School of Manoeuvre;High;M23113;x
23114;Chief of Staff;ローラント・エルトル;2002;SC;School of Manoeuvre;High;M23113;x
23115;Chief of Staff;エドムント・エンタヒェル;2008;SD;School of Mass Combat;High;M23115;x
23116;Chief of Staff;エドムント・エンタヒェル;2008;SC;School of Mass Combat;High;M23115;x
23117;Chief of Staff;オットマー・コンメンダ;2013;SD;School of Psychology;High;M23117;x
23118;Chief of Staff;オットマー・コンメンダ;2013;SC;School of Psychology;High;M23117;x
23119;Chief of Army;エミール・スパンノチチ;70;SC;Armoured Spearhead Doctrine;High;M23008;x
23120;Chief of Army;エルンスト・ベルナディナー;81;SD;Static Defence Doctrine;High;M23120;x
23121;Chief of Army;エルンスト・ベルナディナー;81;SC;Static Defence Doctrine;High;M23120;x
23122;Chief of Army;ヨハン・フィリップ;84;SD;Elastic Defence Doctrine;High;M23122;x
23123;Chief of Army;ヨハン・フィリップ;84;SC;Elastic Defence Doctrine;High;M23122;x
23134;Chief of Navy;カール・スクリヴァネク;70;SC;Indirect Approach Doctrine;High;M23009;x
23135;Chief of Navy;ラインハルト・シュトランドナー;90;SD;Open Seas Doctrine;High;M23135;x
23136;Chief of Navy;ラインハルト・シュトランドナー;90;SC;Open Seas Doctrine;High;M23135;x
23137;Chief of Air Force;ヨーゼフ・ハイベック;70;SC;Air Superiority Doctrine;High;M23010;x
23138;Chief of Air Force;エーリヒ・ヴォルフ;92;SD;Air Superiority Doctrine;High;M23138;x
23139;Chief of Air Force;エーリヒ・ヴォルフ;92;SC;Air Superiority Doctrine;High;M23138;x
23140;Chief of Air Force;パウル・ルーベ;71;SD;Army Aviation Doctrine;High;M23140;x
23141;Chief of Air Force;パウル・ルーベ;71;SC;Army Aviation Doctrine;High;M23140;x
23142;Chief of Air Force;グスタフ・ゴルヤ;77;SD;Air Superiority Doctrine;High;M23142;x
23143;Chief of Air Force;グスタフ・ゴルヤ;77;SC;Air Superiority Doctrine;High;M23142;x
23144;Chief of Air Force;オットマー・パヴィシュ;84;SD;Carpet Bombing Doctrine;High;M23144;x
23145;Chief of Air Force;オットマー・パヴィシュ;84;SC;Carpet Bombing Doctrine;High;M23144;x
