country;main color;leader language;ArmyNationalitySprite;END
ROM;DarkOrange;ROM;ROM;X
RSI;LightBrown;ITA;ITA;X
RUS;Red;SOV;SOV;X
SAF;Red;ENG;ENG;X
SAL;DarkGray;ENG;USA;X
SAR;DarkOrange;ENG;MIN;X
SAU;DarkOrange;ENG;ENG;X
SCA;LightGreen;SWE;MIN;X
SCH;Red;GER;MIN;X
SCO;LightBrown;ENG;ENG;X
SER;LightGray;ENG;GER;X
SIA;LightGreen;ENG;JAP;X
SIB;LightGray;SOV;SOV;X
SIE;LightYellow;ENG;ENG;X
SIK;Brown;CHI;MIN;X
SLO;LightGreen;ENG;GER;X
SLV;LightBrown;ENG;MIN;X
SOM;LightYellow;ENG;MIN;X
SOV;DarkRed;SOV;SOV;X
SPA;DarkGray;SPA;GER;X
SPR;DarkYellow;SPA;SOV;X
SUD;DarkYellow;ENG;MIN;X
SWE;LightBlue;SWE;MIN;X
SYR;LightYellow;ENG;MIN;X
TAJ;DarkOrange;SOV;SOV;X
TAN;DarkBrown;CHI;SOV;X
TEX;Yellow;USA;USA;X
TIB;LightGray;ENG;ENG;X
TRA;LightOrange;SOV;SOV;X
TRK;DarkBrown;SOV;SOV;X
TUN;Brown;FRA;FRA;X
TUR;LightGreen;TUR;MIN;X
UKR;DarkGreen;SOV;SOV;X
URU;DarkGray;SPA;USA;X
USA;DarkBlue;USA;USA;X
UZB;LightGreen;SOV;SOV;X
VEN;LightGreen;SPA;USA;X
VIC;White;FRA;FRA;X
VIE;DarkBlue;CHI;USA;X
WLL;LightBrown;FRA;GER;X
YEM;LightGray;TUR;ENG;X
YUG;LightYellow;YUG;FRA;X
ALS;DarkGreen;ENG;USA;X
AXI;Gray;GER;GER;X
ALI;White;ALI;ALI;X
U00;DarkGray;ENG;MIN;X
U01;DarkOrange;ENG;MIN;X
U02;Gray;ENG;MIN;X
U03;DarkGreen;ENG;MIN;X
U04;Brown;ENG;MIN;X
U05;White;ENG;MIN;X
U06;LightBlue;ENG;MIN;X
U07;LightYellow;ENG;MIN;X
U08;LightBrown;ENG;MIN;X
U09;LightGray;ENG;MIN;X
U10;LightGreen;ENG;MIN;X
U11;LightBlue;ENG;MIN;X
U12;Black;ENG;MIN;X
U13;Black;ENG;MIN;X
U14;Black;ENG;MIN;X
U15;Black;ENG;MIN;X
U16;Black;ENG;MIN;X
U17;Black;ENG;MIN;X
U18;Black;ENG;MIN;X
U19;Black;ENG;MIN;X
U20;Black;ENG;MIN;X
U21;Black;ENG;MIN;X
U22;Black;ENG;MIN;X
U23;Black;ENG;MIN;X
U24;Black;ENG;MIN;X
U25;Black;ENG;MIN;X
U26;Black;ENG;MIN;X
U27;Black;ENG;MIN;X
U28;Black;ENG;MIN;X
U29;Black;ENG;MIN;X
U30;Black;ENG;MIN;X
U31;Black;ENG;MIN;X
U32;Black;ENG;MIN;X
U33;Black;ENG;MIN;X
U34;Black;ENG;MIN;X
U35;Black;ENG;MIN;X
U36;Black;ENG;MIN;X
U37;Black;ENG;MIN;X
U38;Black;ENG;MIN;X
U39;Black;ENG;MIN;X
U40;Black;ENG;MIN;X
U41;Black;ENG;MIN;X
U42;Black;ENG;MIN;X
U43;Black;ENG;MIN;X
U44;Black;ENG;MIN;X
U45;Black;ENG;MIN;X
U46;Black;ENG;MIN;X
U47;Black;ENG;MIN;X
U48;Black;ENG;MIN;X
U49;Black;ENG;MIN;X
U50;Black;ENG;MIN;X
U51;Black;ENG;MIN;X
U52;Black;ENG;MIN;X
U53;Black;ENG;MIN;X
U54;Black;ENG;MIN;X
U55;Black;ENG;MIN;X
U56;Black;ENG;MIN;X
U57;Black;ENG;MIN;X
U58;Black;ENG;MIN;X
U59;Black;ENG;MIN;X
U60;Black;ENG;MIN;X
U61;Black;ENG;MIN;X
U62;Black;ENG;MIN;X
U63;Black;ENG;MIN;X
U64;Black;ENG;MIN;X
U65;Black;ENG;MIN;X
U66;Black;ENG;MIN;X
U67;Black;ENG;MIN;X
U68;Black;ENG;MIN;X
U69;Black;ENG;MIN;X
U70;Black;ENG;MIN;X
U71;Black;ENG;MIN;X
U72;Black;ENG;MIN;X
U73;Black;ENG;MIN;X
U74;Black;ENG;MIN;X
U75;Black;ENG;MIN;X
U76;Black;ENG;MIN;X
U77;Black;ENG;MIN;X
U78;Black;ENG;MIN;X
U79;Black;ENG;MIN;X
U80;Black;ENG;MIN;X
U81;Black;ENG;MIN;X
U82;Green;FRA;FRA;X
U83;Orange;ENG;ENG;X
U84;Brown;FRA;FRA;X
U85;LightYellow;FRA;FRA;X
U86;LightBlue;ENG;ENG;X
U87;Yellow;ENG;ENG;X
U88;LightOrange;FRA;FRA;X
U89;Green ;ENG;ENG;X
U90;LightBrown;ENG;ENG;X
U91;DarkGreen;TUR;ENG;X
U92;White;ITA;ENG;X
U93;LightGreen;SPA;MIN;X
U94;Orange;FRA;FRA;X
U95;Gray;FRA;FRA;X
U96;LightYellow;ENG;ENG;X
U97;DarkGreen;ENG;ENG;X
U98;DarkRed;ENG;ENG;X
U99;Yellow;ENG;ENG;X
USN;DarkBlue;USA;USA;X
UAU;LightGray;AST;ENG;X
UCH;DarkBrown;CHI;MIN;X
UBO;Blue;FRA;FRA;X
UTC;DarkOrange;ROM;GER;X
UGS;LightBlue;SWE;MIN;X
UCS;DarkGray;USA;USA;X
UIC;LightGreen;ENG;JAP;X
UPR;Gray;GER;GER;X
UER;Red;SOV;SOV;X
UTO;Green;TUR;MIN;X
UIR;DarkYellow;ENG;ENG;X
UTL;LightBrown;POR;USA;X
UPS;LightOrange;JAP;JAP;X
UES;LightRed;ENG;ENG;X
URO;DarkGreen;ITA;ITA;X
UAP;LightYellow;ENG;ENG;X
UPE;DarkRed;ENG;ENG;X
END;DarkRed;ENG;ENG;X
