Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
黄克誠（フアン・コーチュヨン）;260019;CHC;1940;1945;1990;1990;3;4;0;2;0;4;0;319;1940;1986;1999;x
高崗（ガオ・ガン）;260020;CHC;1930;1990;1990;1990;3;4;16;1;0;4;0;320;1930;1945;1999;x
金元鳳（キム・ウォンボン）;260021;CHC;1940;1990;1990;1990;3;4;0;1;0;2;0;L76320;1940;1944;1999;x
李貞（リー・ジェン）;260022;CHC;1943;1990;1990;1990;3;4;16;1;0;4;0;L76321;1943;1970;1999;x
李先念（リー・シエンニエン）;260023;CHC;1930;1930;1940;1990;1;4;0;2;0;4;0;321;1930;1970;1999;x
李友邦（リー・ヨウバン）;260024;CHC;1938;1990;1990;1990;3;4;1;1;0;4;0;L76323;1938;1946;1999;x
林彪（リン・ビアオ）;260025;CHC;1930;1942;1955;1957;1;8;18;5;0;3;0;L76324;1930;1971;1999;x
劉志丹（リウ・ジーダン）;260026;CHC;1930;1930;1990;1990;2;4;1;1;0;4;0;L76325;1930;1942;1999;x
劉伯承（リウ・ボチェン）;260027;CHC;1931;1944;1990;1990;2;4;5;1;0;4;0;322;1931;1986;1999;x
羅瑞卿（ルオ・ルイチン）;260028;CHC;1945;1990;1990;1990;3;4;0;1;0;4;0;323;1945;1970;1999;x
羅栄桓（ルオ・ロンホアン）;260029;CHC;1938;1944;1990;1990;2;4;0;2;0;4;0;324;1938;1970;1999;x
羅炳輝（ルオ・ビンホゥイ）;260030;CHC;1930;1990;1990;1990;3;5;0;1;0;4;0;L76329;1930;1970;1999;x
馬本斉（マー・ベンジャイ）;260031;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76330;1930;1941;1999;x
毛沢東（マオ･ツォートン）;260032;CHC;1924;1924;1924;1924;0;5;16;3;0;5;0;325;1924;1970;1999;x
金武亭（キム・ムジョン）;260033;CHC;1930;1939;1990;1990;2;6;64;2;0;5;0;L76332;1930;1970;1999;x
聶栄臻（ニー・ロンツェン）;260034;CHC;1941;1946;1990;1990;3;6;5;2;0;4;0;326;1941;1992;1999;x
阮愛国（グエン・アイ・クオック）;260035;CHC;1930;1990;1990;1990;3;7;16;3;0;2;0;327;1930;1944;1999;x
彭雪楓（プオン・シュエフオン）;260036;CHC;1930;1990;1990;1990;3;4;2;1;0;4;0;L76335;1930;1942;1999;x
彭徳懐（ペン・デウアイ）;260037;CHC;1939;1942;1990;1990;2;6;256;2;0;3;0;L76336;1939;1974;1999;x
粟裕（スー・ユー）;260038;CHC;1941;1990;1990;1990;3;4;4;1;0;4;0;328;1941;1970;1999;x
白善燁（ペク・ソニョプ）;260039;CHC;1939;1990;1990;1990;3;5;16;1;0;5;0;L76338;1939;1945;1999;x
譚政（タン・ジュヨン）;260040;CHC;1930;1941;1947;1990;2;4;0;3;0;4;0;L76339;1930;1970;1999;x
トウ小平（ダン・シャオピン）;260041;CHC;1938;1940;1942;1990;1;4;16;3;0;3;0;L76340;1938;1970;1999;x
滕代遠（トゥオン・ダイユエン）;260042;CHC;1938;1990;1990;1990;3;4;1;1;0;4;0;L76341;1938;1943;1999;x
丁玲（ディン・リン）;260043;CHC;1939;1990;1990;1990;3;3;0;1;0;4;0;L76342;1939;1970;1999;x
左権（ズゥオ・チュエン）;260044;CHC;1930;1938;1990;1990;2;4;0;2;0;4;0;L76343;1930;1946;1999;x
ウランフ;260045;CHC;1930;1990;1990;1990;3;4;4;1;0;4;0;L76344;1930;1940;1999;x
王稼祥（ワン・ジアシアン）;260046;CHC;1930;1930;1930;1990;1;4;0;2;0;4;0;L76345;1930;1940;1999;x
王樹声（ワン・シュウシュヨン）;260047;CHC;1942;1946;1990;1990;3;4;0;2;0;4;0;L76346;1942;1970;1999;x
韋国清（ウエイ・グオチン）;260048;CHC;1945;1990;1990;1990;3;4;0;1;0;4;0;L76347;1945;1970;1999;x
楊靖宇（ヤン・ジンユイ）;260049;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;329;1930;1939;1999;x
楊尚昆（ヤン・シャンクン）;260050;CHC;1930;1941;1990;1990;2;4;0;2;0;4;0;330;1930;1970;1999;x
葉剣英（イエ・ジエンイン）;260051;CHC;1938;1940;1990;1990;2;4;0;2;0;4;0;331;1938;1986;1999;x
葉挺（イェ・ティン）;260052;CHC;1930;1943;1990;1990;2;4;0;2;0;4;0;332;1930;1946;1999;x
張愛萍（ヂャン・アイピン）;260053;CHC;1942;1990;1990;1990;3;3;0;1;0;4;1;L76352;1942;1970;1999;x
張学思（ヂャン・シュエスー）;260054;CHC;1930;1941;1990;1990;2;3;0;2;0;4;1;L76353;1930;1970;1999;x
鄭道済（ヂェン・ダオジー）;260055;CHC;1930;1990;1990;1990;3;3;1024;1;0;4;1;L76354;1930;1946;1999;x
蕭勁光（シャオ・ジングワン）;260056;CHC;1938;1940;1945;1990;2;3;0;3;0;4;1;L76355;1938;1970;1999;x
羅湘濤（ルオ・シアンタオ）;260057;CHC;1943;1990;1990;1990;3;3;0;1;0;4;1;L76356;1943;1970;1999;x
陶勇（タオ・ヨン）;260058;CHC;1930;1990;1990;1990;3;3;0;1;0;4;1;L76357;1930;1970;1999;x
譚震林（タン・ジェンリン）;260059;CHC;1937;1941;1990;1990;2;3;0;2;0;4;1;L76358;1937;1945;1999;x
トウ子恢（ダン・ズーホゥイ）;260060;CHC;1943;1944;1945;1990;1;5;4096;3;0;4;1;L76359;1943;1970;1999;x
葉飛（イエ・フェイ）;260061;CHC;1945;1990;1990;1990;3;3;0;1;0;4;1;L76360;1945;1970;1999;x
安志敏（アン・ジーミン）;260062;CHC;1942;1990;1990;1990;3;3;0;1;0;4;2;L76361;1942;1970;1999;x
常乾坤（チャン・チエンクン）;260063;CHC;1937;1944;1990;1990;3;3;0;2;0;4;2;L76362;1937;1970;1999;x
陳熙（チェン・シイ）;260064;CHC;1942;1945;1990;1990;2;3;0;2;0;4;2;L76363;1942;1970;1999;x
方槐（ファン・ホワイ）;260065;CHC;1943;1990;1990;1990;3;3;0;1;0;4;2;L76364;1943;1970;1999;x
方子翼（ファン・ズーイー）;260066;CHC;1930;1940;1942;1990;1;4;0;2;0;4;2;L76365;1930;1970;1999;x
夏伯勲（シア・ボーシュイン）;260067;CHC;1930;1941;1990;1990;2;3;0;2;0;4;2;L76366;1930;1970;1999;x
劉震（リウ・ジェン）;260068;CHC;1944;1990;1990;1990;3;3;0;1;0;4;2;L76367;1944;1970;1999;x
劉亜楼（リウ・ヤーロウ）;260069;CHC;1946;1990;1990;1990;3;3;0;1;0;4;2;L76368;1946;1970;1999;x
呂黎平（リュー・リーピン）;260070;CHC;1930;1990;1990;1990;3;5;4096;1;0;4;2;L76369;1930;1970;1999;x
袁彬（ユエン・ビン）;260071;CHC;1942;1990;1990;1990;3;3;0;1;0;4;2;L76370;1942;1970;1999;x
薛嶽（シュエ・ユエ）;260072;CHC;1945;1990;1990;1990;3;4;16;1;0;5;0;L76371;1945;1970;1999;x
李宗仁（リー・ゾンレン）;260073;CHC;1943;1946;1990;1990;2;5;8;2;0;5;0;L76372;1943;1970;1999;x
博古（ボー・グー）;260074;CHC;1924;1924;1924;1990;1;3;3;2;0;4;0;6022;1924;1936;1999;x
陳伯鈞（チェン・ボージュン）;260075;CHC;1933;1936;1955;1990;1;5;3;2;0;4;0;6023;1933;1974;1999;x
陳錫連（チェン・シーリエン）;260076;CHC;1943;1948;1955;2000;1;5;0;2;0;4;0;6024;1943;1999;1999;x
倪志亮（ニー・ザイリャン）;260077;CHC;1937;1955;1990;1990;2;5;3;2;0;4;0;6025;1937;1965;1999;x
彭紹輝（ペン・シャウフイ）;260078;CHC;1932;1949;1955;1990;2;5;3;2;0;4;0;6026;1932;1978;1999;x
王宏坤（ワン・ホンクン）;260079;CHC;1932;1936;1955;1999;1;5;3;2;0;4;0;6027;1932;1993;1999;x
王震（ワン・ジェン）;260080;CHC;1944;1945;1955;1999;1;5;0;2;0;4;0;6028;1944;1993;1999;x
蕭克（シャオ・ケ）;260081;CHC;1937;1946;1955;2010;1;5;3;2;0;4;0;6029;1937;2008;2009;x
張宗遜（ヂャン・ヂョンスン）;260082;CHC;1930;1932;1955;1990;1;5;3;2;0;4;0;6030;1930;1998;1999;x
周士弟（ヂュウ・シディ）;260083;CHC;1936;1948;1955;1990;1;5;2;2;0;4;0;6031;1936;1979;1999;x
王宏坤（ワン・ホンクン）;260084;CHC;1955;1955;1999;1999;2;5;0;1;0;4;1;6027;1955;1993;1999;x
周士弟（ヂュウ・シディ）;260085;CHC;1924;1990;1990;1990;1;5;0;1;0;4;2;6031;1924;1979;1999;x
